time_s,dbfs,floor_dbfs,threshold_dbfs,is_above_threshold,event_fired
0.000,-50.37,,,0,0
0.100,-48.72,,,0,0
0.200,-50.52,,,0,0
0.300,-48.26,,,0,0
0.400,-46.54,,,0,0
0.500,-47.60,,,0,0
0.600,-48.01,,,0,0
0.700,-46.38,,,0,0
0.800,-44.03,,,0,0
0.900,-41.84,-50.38,-25.38,0,0
1.000,-44.24,-50.37,-25.37,0,0
1.100,-42.59,-50.20,-25.20,0,0
1.200,-43.31,-50.04,-25.04,0,0
1.300,-42.92,-49.87,-24.87,0,0
1.400,-44.35,-49.71,-24.71,0,0
1.500,-43.27,-49.54,-24.54,0,0
1.600,-43.01,-49.38,-24.38,0,0
1.700,-43.77,-49.21,-24.21,0,0
1.800,-43.93,-49.05,-24.05,0,0
1.900,-46.05,-48.88,-23.88,0,0
2.000,-44.63,-48.72,-23.72,0,0
2.100,-45.11,-48.67,-23.67,0,0
2.200,-44.68,-48.63,-23.63,0,0
2.300,-45.18,-48.58,-23.58,0,0
2.400,-39.67,-48.54,-23.54,0,0
2.500,-33.72,-48.49,-23.49,0,0
2.600,-23.81,-48.44,-23.44,0,0
2.700,-30.73,-48.40,-23.40,0,0
2.800,-43.01,-48.35,-23.35,0,0
2.900,-44.94,-48.31,-23.31,0,0
3.000,-44.82,-48.26,-23.26,0,0
3.100,-45.88,-48.24,-23.24,0,0
3.200,-30.73,-48.21,-23.21,0,0
3.300,-31.44,-48.19,-23.19,0,0
3.400,-30.98,-48.16,-23.16,0,0
3.500,-34.77,-48.14,-23.14,0,0
3.600,-37.56,-48.11,-23.11,0,0
3.700,-30.37,-48.09,-23.09,0,0
3.800,-39.18,-48.06,-23.06,0,0
3.900,-33.49,-48.04,-23.04,0,0
4.000,-34.20,-48.01,-23.01,0,0
4.100,-24.07,-47.97,-22.97,0,0
4.200,-25.34,-47.93,-22.93,0,0
4.300,-38.42,-47.89,-22.89,0,0
4.400,-43.19,-47.85,-22.85,0,0
4.500,-33.64,-47.81,-22.81,0,0
4.600,-29.31,-47.77,-22.77,0,0
4.700,-34.44,-47.73,-22.73,0,0
4.800,-39.28,-47.68,-22.68,0,0
4.900,-36.83,-47.64,-22.64,0,0
5.000,-29.49,-46.64,-21.64,0,0
5.100,-33.92,-46.40,-21.40,0,0
5.200,-38.86,-46.08,-21.08,0,0
5.300,-34.89,-45.90,-20.90,0,0
5.400,-34.78,-45.25,-20.25,0,0
5.500,-42.54,-45.12,-20.12,0,0
5.600,-39.82,-44.95,-19.95,0,0
5.700,-32.50,-44.83,-19.83,0,0
5.800,-33.98,-44.83,-19.83,0,0
5.900,-37.10,-44.83,-19.83,0,0
6.000,-37.97,-44.83,-19.83,0,0
6.100,-36.61,-44.83,-19.83,0,0
6.200,-36.17,-44.83,-19.83,0,0
6.300,-37.80,-44.83,-19.83,0,0
6.400,-38.26,-44.83,-19.83,0,0
6.500,-32.49,-44.83,-19.83,0,0
6.600,-35.26,-44.83,-19.83,0,0
6.700,-41.13,-44.83,-19.83,0,0
6.800,-40.06,-44.83,-19.83,0,0
6.900,-45.34,-44.83,-19.83,0,0
7.000,-47.20,-44.95,-19.95,0,0
7.100,-44.32,-44.83,-19.83,0,0
7.200,-44.60,-44.83,-19.83,0,0
7.300,-38.88,-44.62,-19.62,0,0
7.400,-32.35,-44.62,-19.62,0,0
7.500,-27.78,-44.62,-19.62,0,0
7.600,-34.31,-44.62,-19.62,0,0
7.700,-39.12,-44.62,-19.62,0,0
7.800,-37.25,-44.62,-19.62,0,0
7.900,-34.96,-44.35,-19.35,0,0
8.000,-40.34,-43.30,-18.30,0,0
8.100,-44.15,-43.29,-18.29,0,0
8.200,-32.79,-43.29,-18.29,0,0
8.300,-33.05,-43.29,-18.29,0,0
8.400,-35.57,-43.29,-18.29,0,0
8.500,-38.31,-43.29,-18.29,0,0
8.600,-37.28,-43.29,-18.29,0,0
8.700,-40.09,-43.29,-18.29,0,0
8.800,-46.00,-44.17,-19.17,0,0
8.900,-45.87,-44.35,-19.35,0,0
9.000,-44.10,-44.35,-19.35,0,0
9.100,-44.58,-44.59,-19.59,0,0
9.200,-43.08,-44.59,-19.59,0,0
9.300,-42.84,-44.59,-19.59,0,0
9.400,-42.65,-44.59,-19.59,0,0
9.500,-42.43,-44.59,-19.59,0,0
9.600,-42.89,-44.59,-19.59,0,0
9.700,-36.36,-44.59,-19.59,0,0
9.800,-39.97,-44.59,-19.59,0,0
9.900,-24.31,-44.59,-19.59,0,0
10.000,-32.00,-44.59,-19.59,0,0
10.100,-35.10,-44.59,-19.59,0,0
10.200,-31.05,-44.59,-19.59,0,0
10.300,-27.10,-44.59,-19.59,0,0
10.400,-30.53,-44.59,-19.59,0,0
10.500,-35.38,-44.59,-19.59,0,0
10.600,-40.86,-44.59,-19.59,0,0
10.700,-30.54,-44.59,-19.59,0,0
10.800,-33.93,-44.59,-19.59,0,0
10.900,-35.19,-44.59,-19.59,0,0
11.000,-38.48,-44.59,-19.59,0,0
11.100,-42.70,-44.59,-19.59,0,0
11.200,-42.56,-44.59,-19.59,0,0
11.300,-37.12,-44.59,-19.59,0,0
11.400,-33.63,-44.59,-19.59,0,0
11.500,-37.05,-44.59,-19.59,0,0
11.600,-37.43,-44.59,-19.59,0,0
11.700,-37.02,-44.59,-19.59,0,0
11.800,-38.07,-44.59,-19.59,0,0
11.900,-37.72,-44.34,-19.34,0,0
12.000,-39.84,-44.17,-19.17,0,0
12.100,-40.54,-44.11,-19.11,0,0
12.200,-43.08,-43.18,-18.18,0,0
12.300,-38.22,-43.18,-18.18,0,0
12.400,-32.52,-43.18,-18.18,0,0
12.500,-32.28,-43.18,-18.18,0,0
12.600,-40.28,-43.18,-18.18,0,0
12.700,-39.88,-43.18,-18.18,0,0
12.800,-40.50,-43.18,-18.18,0,0
12.900,-40.80,-43.18,-18.18,0,0
13.000,-37.83,-43.18,-18.18,0,0
13.100,-34.20,-43.08,-18.08,0,0
13.200,-32.23,-43.08,-18.08,0,0
13.300,-31.97,-43.08,-18.08,0,0
13.400,-38.26,-43.08,-18.08,0,0
13.500,-41.97,-43.08,-18.08,0,0
13.600,-40.59,-43.08,-18.08,0,0
13.700,-37.91,-43.08,-18.08,0,0
13.800,-34.93,-42.91,-17.91,0,0
13.900,-28.00,-42.84,-17.84,0,0
14.000,-28.23,-42.71,-17.71,0,0
14.100,-30.58,-42.65,-17.65,0,0
14.200,-38.20,-42.57,-17.57,0,0
14.300,-33.59,-42.44,-17.44,0,0
14.400,-32.43,-42.01,-17.01,0,0
14.500,-30.57,-40.97,-15.97,0,0
14.600,-37.22,-40.81,-15.81,0,0
14.700,-35.48,-40.81,-15.81,0,0
14.800,-28.51,-40.81,-15.81,0,0
14.900,-33.18,-40.81,-15.81,0,0
15.000,-35.94,-40.81,-15.81,0,0
15.100,-41.92,-40.96,-15.96,0,0
15.200,-32.84,-40.96,-15.96,0,0
15.300,-40.51,-40.96,-15.96,0,0
15.400,-42.27,-41.93,-16.93,0,0
15.500,-39.36,-41.93,-16.93,0,0
15.600,-38.14,-41.93,-16.93,0,0
15.700,-34.21,-41.93,-16.93,0,0
15.800,-34.79,-41.93,-16.93,0,0
15.900,-33.00,-41.93,-16.93,0,0
16.000,-41.32,-41.93,-16.93,0,0
16.100,-41.58,-41.62,-16.62,0,0
16.200,-43.91,-41.62,-16.62,0,0
16.300,-44.24,-41.93,-16.93,0,0
16.400,-45.38,-42.00,-17.00,0,0
16.500,-44.35,-42.35,-17.35,0,0
16.600,-44.05,-43.16,-18.16,0,0
16.700,-37.96,-43.16,-18.16,0,0
16.800,-38.82,-43.16,-18.16,0,0
16.900,-25.53,-43.16,-18.16,0,0
17.000,-24.21,-43.16,-18.16,0,0
17.100,-34.91,-43.16,-18.16,0,0
17.200,-24.37,-42.44,-17.44,0,0
17.300,-32.83,-42.44,-17.44,0,0
17.400,-40.82,-42.44,-17.44,0,0
17.500,-31.59,-42.44,-17.44,0,0
17.600,-27.41,-42.44,-17.44,0,0
17.700,-27.83,-42.44,-17.44,0,0
17.800,-31.54,-42.44,-17.44,0,0
17.900,-32.30,-42.44,-17.44,0,0
18.000,-42.06,-42.44,-17.44,0,0
18.100,-39.73,-42.44,-17.44,0,0
18.200,-39.23,-42.44,-17.44,0,0
18.300,-31.14,-42.44,-17.44,0,0
18.400,-32.11,-42.44,-17.44,0,0
18.500,-37.51,-42.44,-17.44,0,0
18.600,-35.56,-42.44,-17.44,0,0
18.700,-33.42,-42.44,-17.44,0,0
18.800,-34.93,-42.44,-17.44,0,0
18.900,-33.60,-42.44,-17.44,0,0
19.000,-28.84,-42.44,-17.44,0,0
19.100,-30.71,-42.44,-17.44,0,0
19.200,-39.26,-42.44,-17.44,0,0
19.300,-33.63,-42.44,-17.44,0,0
19.400,-32.32,-42.44,-17.44,0,0
19.500,-31.74,-42.44,-17.44,0,0
19.600,-36.42,-42.44,-17.44,0,0
19.700,-34.67,-42.44,-17.44,0,0
19.800,-40.86,-42.44,-17.44,0,0
19.900,-39.37,-42.44,-17.44,0,0
20.000,-34.88,-42.44,-17.44,0,0
20.100,-35.71,-42.44,-17.44,0,0
20.200,-35.46,-42.44,-17.44,0,0
20.300,-40.91,-42.44,-17.44,0,0
20.400,-38.65,-42.25,-17.25,0,0
20.500,-40.73,-42.25,-17.25,0,0
20.600,-38.28,-42.25,-17.25,0,0
20.700,-37.44,-42.25,-17.25,0,0
20.800,-31.86,-42.25,-17.25,0,0
20.900,-36.53,-42.25,-17.25,0,0
21.000,-36.74,-42.25,-17.25,0,0
21.100,-40.66,-42.25,-17.25,0,0
21.200,-32.12,-41.02,-16.02,0,0
21.300,-39.36,-40.86,-15.86,0,0
21.400,-37.64,-40.82,-15.82,0,0
21.500,-41.32,-40.82,-15.82,0,0
21.600,-38.70,-40.74,-15.74,0,0
21.700,-38.07,-40.74,-15.74,0,0
21.800,-35.80,-40.74,-15.74,0,0
21.900,-36.04,-40.74,-15.74,0,0
22.000,-36.81,-40.74,-15.74,0,0
22.100,-33.09,-40.74,-15.74,0,0
22.200,-34.23,-40.74,-15.74,0,0
22.300,-29.52,-40.74,-15.74,0,0
22.400,-30.83,-40.67,-15.67,0,0
22.500,-35.00,-40.67,-15.67,0,0
22.600,-36.40,-40.67,-15.67,0,0
22.700,-41.43,-40.74,-15.74,0,0
22.800,-43.43,-40.86,-15.86,0,0
22.900,-37.97,-40.86,-15.86,0,0
23.000,-42.48,-40.86,-15.86,0,0
23.100,-43.46,-40.95,-15.95,0,0
23.200,-47.09,-41.33,-16.33,0,0
23.300,-44.16,-41.54,-16.54,0,0
23.400,-43.52,-42.57,-17.57,0,0
23.500,-45.48,-43.43,-18.43,0,0
23.600,-43.82,-43.47,-18.47,0,0
