time_s,dbfs,floor_dbfs,threshold_dbfs,is_above_threshold,event_fired
0.000,-31.24,,,0,0
0.100,-17.37,,,0,0
0.200,-19.81,,,0,0
0.300,-25.61,,,0,0
0.400,-28.74,,,0,0
0.500,-23.19,,,0,0
0.600,-26.28,,,0,0
0.700,-31.61,,,0,0
0.800,-27.52,,,0,0
0.900,-29.74,-31.28,-6.28,0,0
1.000,-26.40,-31.24,-6.24,0,0
1.100,-25.68,-31.09,-6.09,0,0
1.200,-15.70,-30.94,-5.94,0,0
1.300,-17.60,-30.79,-5.79,0,0
1.400,-29.26,-30.64,-5.64,0,0
1.500,-33.43,-31.42,-6.42,0,0
1.600,-19.37,-31.39,-6.39,0,0
1.700,-22.71,-31.35,-6.35,0,0
1.800,-27.99,-31.31,-6.31,0,0
1.900,-37.17,-31.79,-6.79,0,0
2.000,-22.43,-31.61,-6.61,0,0
2.100,-27.54,-31.57,-6.57,0,0
2.200,-25.57,-31.54,-6.54,0,0
2.300,-30.13,-31.50,-6.50,0,0
2.400,-26.40,-31.46,-6.46,0,0
2.500,-20.30,-31.42,-6.42,0,0
2.600,-24.83,-31.39,-6.39,0,0
2.700,-24.84,-31.35,-6.35,0,0
2.800,-25.39,-31.31,-6.31,0,0
2.900,-22.48,-31.28,-6.28,0,0
3.000,-23.46,-31.24,-6.24,0,0
3.100,-26.06,-31.13,-6.13,0,0
3.200,-26.65,-31.02,-6.02,0,0
3.300,-22.71,-30.90,-5.90,0,0
3.400,-31.56,-31.43,-6.43,0,0
3.500,-32.43,-31.59,-6.59,0,0
3.600,-31.57,-31.59,-6.59,0,0
3.700,-36.58,-31.86,-6.86,0,0
3.800,-37.40,-32.63,-7.63,0,0
3.900,-37.38,-33.74,-8.74,0,0
4.000,-36.37,-36.37,-11.37,0,0
4.100,-25.36,-36.08,-11.08,0,0
4.200,-33.97,-35.89,-10.89,0,0
4.300,-21.90,-35.65,-10.65,0,0
4.400,-25.23,-35.41,-10.41,0,0
4.500,-28.18,-35.17,-10.17,0,0
4.600,-32.92,-34.93,-9.93,0,0
4.700,-22.39,-34.69,-9.69,0,0
4.800,-27.58,-34.45,-9.45,0,0
4.900,-36.37,-36.37,-11.37,0,0
5.000,-30.48,-36.37,-11.37,0,0
5.100,-33.74,-36.37,-11.37,0,0
5.200,-24.91,-36.37,-11.37,0,0
5.300,-23.01,-36.37,-11.37,0,0
5.400,-25.27,-36.37,-11.37,0,0
5.500,-29.54,-36.37,-11.37,0,0
5.600,-23.77,-36.37,-11.37,0,0
5.700,-22.87,-36.37,-11.37,0,0
5.800,-36.04,-36.37,-11.37,0,0
5.900,-34.45,-36.37,-11.37,0,0
6.000,-38.31,-36.40,-11.40,0,0
6.100,-39.86,-36.64,-11.64,0,0
6.200,-40.47,-37.19,-12.19,0,0
6.300,-40.18,-37.39,-12.39,0,0
6.400,-40.62,-37.49,-12.49,0,0
6.500,-31.78,-37.49,-12.49,0,0
6.600,-31.01,-37.49,-12.49,0,0
6.700,-20.92,-37.49,-12.49,0,0
6.800,-20.43,-37.49,-12.49,0,0
6.900,-25.31,-37.49,-12.49,0,0
7.000,-25.66,-37.49,-12.49,0,0
7.100,-21.36,-37.49,-12.49,0,0
7.200,-25.55,-37.49,-12.49,0,0
7.300,-26.94,-37.49,-12.49,0,0
7.400,-37.43,-37.51,-12.51,0,0
7.500,-19.40,-37.51,-12.51,0,0
7.600,-23.85,-37.51,-12.51,0,0
7.700,-22.41,-37.51,-12.51,0,0
7.800,-30.18,-37.51,-12.51,0,0
7.900,-33.56,-37.51,-12.51,0,0
8.000,-37.58,-37.66,-12.66,0,0
8.100,-20.12,-37.66,-12.66,0,0
8.200,-32.11,-37.66,-12.66,0,0
8.300,-30.74,-37.66,-12.66,0,0
8.400,-27.91,-37.66,-12.66,0,0
8.500,-28.49,-37.66,-12.66,0,0
8.600,-30.79,-37.66,-12.66,0,0
8.700,-26.53,-37.66,-12.66,0,0
8.800,-32.63,-37.66,-12.66,0,0
8.900,-31.41,-37.66,-12.66,0,0
9.000,-22.16,-37.66,-12.66,0,0
9.100,-25.33,-37.66,-12.66,0,0
9.200,-36.28,-37.66,-12.66,0,0
9.300,-37.63,-37.70,-12.70,0,0
9.400,-36.90,-37.70,-12.70,0,0
9.500,-38.09,-38.12,-13.12,0,0
9.600,-24.74,-38.12,-13.12,0,0
9.700,-20.89,-38.12,-13.12,0,0
9.800,-18.95,-38.12,-13.12,0,0
9.900,-23.24,-38.12,-13.12,0,0
10.000,-24.35,-38.12,-13.12,0,0
10.100,-19.49,-38.12,-13.12,0,0
10.200,-33.22,-38.12,-13.12,0,0
10.300,-21.99,-38.12,-13.12,0,0
10.400,-25.22,-38.12,-13.12,0,0
10.500,-30.87,-38.12,-13.12,0,0
10.600,-31.50,-38.12,-13.12,0,0
10.700,-21.48,-38.12,-13.12,0,0
10.800,-18.61,-38.12,-13.12,0,0
10.900,-30.80,-38.12,-13.12,0,0
11.000,-20.53,-37.68,-12.68,0,0
11.100,-33.02,-37.59,-12.59,0,0
11.200,-23.94,-37.44,-12.44,0,0
11.300,-26.78,-36.96,-11.96,0,0
11.400,-31.91,-36.34,-11.34,0,0
11.500,-26.81,-36.34,-11.34,0,0
11.600,-27.81,-36.34,-11.34,0,0
11.700,-22.71,-36.34,-11.34,0,0
11.800,-29.36,-36.34,-11.34,0,0
11.900,-28.87,-36.34,-11.34,0,0
12.000,-33.12,-36.34,-11.34,0,0
12.100,-33.41,-36.34,-11.34,0,0
12.200,-37.97,-36.96,-11.96,0,0
12.300,-38.68,-37.44,-12.44,0,0
12.400,-38.55,-37.59,-12.59,0,0
12.500,-29.08,-37.59,-12.59,0,0
12.600,-25.06,-37.59,-12.59,0,0
12.700,-17.86,-37.59,-12.59,0,0
12.800,-19.71,-37.59,-12.59,0,0
12.900,-27.33,-37.59,-12.59,0,0
13.000,-16.61,-36.98,-11.98,0,0
13.100,-32.99,-36.98,-11.98,0,0
13.200,-22.38,-36.98,-11.98,0,0
13.300,-27.20,-36.98,-11.98,0,0
13.400,-36.13,-36.98,-11.98,0,0
13.500,-24.02,-36.98,-11.98,0,0
13.600,-30.52,-36.98,-11.98,0,0
13.700,-29.62,-36.98,-11.98,0,0
13.800,-34.36,-36.98,-11.98,0,0
13.900,-24.41,-36.98,-11.98,0,0
14.000,-29.11,-36.98,-11.98,0,0
14.100,-33.41,-36.98,-11.98,0,0
14.200,-25.47,-36.98,-11.98,0,0
14.300,-27.04,-36.20,-11.20,0,0
14.400,-25.57,-34.53,-9.53,0,0
14.500,-32.09,-33.51,-8.51,0,0
14.600,-24.91,-33.51,-8.51,0,0
14.700,-24.91,-33.51,-8.51,0,0
14.800,-34.45,-34.37,-9.37,0,0
14.900,-28.23,-34.37,-9.37,0,0
15.000,-27.27,-34.37,-9.37,0,0
15.100,-27.12,-34.37,-9.37,0,0
15.200,-37.01,-34.62,-9.62,0,0
15.300,-28.07,-34.62,-9.62,0,0
15.400,-23.38,-34.62,-9.62,0,0
15.500,-24.38,-34.62,-9.62,0,0
15.600,-33.61,-34.62,-9.62,0,0
15.700,-22.25,-34.62,-9.62,0,0
15.800,-23.59,-34.62,-9.62,0,0
15.900,-28.08,-34.62,-9.62,0,0
16.000,-30.02,-34.62,-9.62,0,0
16.100,-23.67,-34.62,-9.62,0,0
16.200,-27.13,-34.62,-9.62,0,0
16.300,-23.21,-34.62,-9.62,0,0
16.400,-35.48,-35.54,-10.54,0,0
16.500,-25.88,-35.54,-10.54,0,0
16.600,-31.09,-35.54,-10.54,0,0
16.700,-27.16,-35.54,-10.54,0,0
16.800,-23.31,-35.54,-10.54,0,0
16.900,-25.12,-35.54,-10.54,0,0
17.000,-23.16,-35.54,-10.54,0,0
17.100,-23.07,-35.54,-10.54,0,0
17.200,-28.67,-34.55,-9.55,0,0
17.300,-32.57,-34.37,-9.37,0,0
17.400,-38.17,-34.37,-9.37,0,0
17.500,-24.89,-34.37,-9.37,0,0
17.600,-26.92,-34.37,-9.37,0,0
17.700,-34.61,-34.47,-9.47,0,0
17.800,-36.26,-34.70,-9.70,0,0
17.900,-38.02,-35.54,-10.54,0,0
18.000,-37.97,-36.14,-11.14,0,0
18.100,-38.44,-36.34,-11.34,0,0
18.200,-39.04,-37.11,-12.11,0,0
18.300,-39.45,-37.97,-12.97,0,0
18.400,-39.87,-38.03,-13.03,0,0
18.500,-30.47,-38.03,-13.03,0,0
18.600,-31.16,-38.03,-13.03,0,0
18.700,-19.59,-38.03,-13.03,0,0
18.800,-17.92,-38.03,-13.03,0,0
18.900,-26.21,-38.03,-13.03,0,0
19.000,-27.69,-38.03,-13.03,0,0
19.100,-19.82,-38.03,-13.03,0,0
19.200,-28.42,-38.03,-13.03,0,0
19.300,-31.70,-38.03,-13.03,0,0
19.400,-34.74,-38.03,-13.03,0,0
19.500,-36.88,-38.03,-13.03,0,0
19.600,-38.85,-38.20,-13.20,0,0
19.700,-38.13,-38.20,-13.20,0,0
19.800,-39.49,-38.48,-13.48,0,0
19.900,-40.36,-38.87,-13.87,0,0
20.000,-40.53,-39.08,-14.08,0,0
20.100,-45.67,-39.45,-14.45,0,0
