time_s,dbfs,floor_dbfs,threshold_dbfs,is_above_threshold,event_fired
0.000,-34.16,,,0,0
0.100,-22.62,,,0,0
0.200,-21.89,,,0,0
0.300,-33.77,,,0,0
0.400,-24.48,,,0,0
0.500,-32.24,,,0,0
0.600,-24.63,,,0,0
0.700,-34.01,,,0,0
0.800,-26.23,,,0,0
0.900,-27.21,-34.03,-9.03,0,0
1.000,-26.37,-34.01,-9.01,0,0
1.100,-25.27,-33.99,-8.99,0,0
1.200,-23.61,-33.96,-8.96,0,0
1.300,-17.76,-33.94,-8.94,0,0
1.400,-20.87,-33.92,-8.92,0,0
1.500,-33.52,-33.89,-8.89,0,0
1.600,-33.13,-33.87,-8.87,0,0
1.700,-21.30,-33.84,-8.84,0,0
1.800,-23.26,-33.82,-8.82,0,0
1.900,-28.95,-33.80,-8.80,0,0
2.000,-26.61,-33.77,-8.77,0,0
2.100,-31.37,-33.75,-8.75,0,0
2.200,-25.61,-33.72,-8.72,0,0
2.300,-23.06,-33.70,-8.70,0,0
2.400,-23.01,-33.67,-8.67,0,0
2.500,-24.76,-33.64,-8.64,0,0
2.600,-28.68,-33.62,-8.62,0,0
2.700,-36.06,-33.84,-8.84,0,0
2.800,-26.21,-33.82,-8.82,0,0
2.900,-24.67,-33.80,-8.80,0,0
3.000,-24.18,-33.77,-8.77,0,0
3.100,-30.46,-33.75,-8.75,0,0
3.200,-24.19,-33.72,-8.72,0,0
3.300,-26.97,-33.70,-8.70,0,0
3.400,-28.61,-33.67,-8.67,0,0
3.500,-30.11,-33.64,-8.64,0,0
3.600,-26.59,-33.62,-8.62,0,0
3.700,-31.04,-33.59,-8.59,0,0
3.800,-33.49,-33.57,-8.57,0,0
3.900,-34.79,-33.80,-8.80,0,0
4.000,-36.93,-34.01,-9.01,0,0
4.100,-38.75,-34.15,-9.15,0,0
4.200,-38.23,-34.66,-9.66,0,0
4.300,-39.75,-35.68,-10.68,0,0
4.400,-30.37,-35.55,-10.55,0,0
4.500,-26.42,-35.42,-10.42,0,0
4.600,-24.47,-35.29,-10.29,0,0
4.700,-21.28,-35.17,-10.17,0,0
4.800,-24.28,-35.04,-10.04,0,0
4.900,-32.92,-34.91,-9.91,0,0
5.000,-30.77,-34.91,-9.91,0,0
5.100,-24.16,-34.91,-9.91,0,0
5.200,-33.21,-34.91,-9.91,0,0
5.300,-31.58,-34.91,-9.91,0,0
5.400,-32.82,-34.91,-9.91,0,0
5.500,-30.61,-34.91,-9.91,0,0
5.600,-20.79,-34.91,-9.91,0,0
5.700,-22.75,-34.91,-9.91,0,0
5.800,-29.92,-34.91,-9.91,0,0
5.900,-28.14,-34.91,-9.91,0,0
6.000,-26.72,-34.91,-9.91,0,0
6.100,-28.00,-34.91,-9.91,0,0
6.200,-33.71,-34.91,-9.91,0,0
6.300,-34.27,-34.91,-9.91,0,0
6.400,-38.89,-36.15,-11.15,0,0
6.500,-37.79,-37.02,-12.02,0,0
6.600,-39.37,-37.83,-12.83,0,0
6.700,-39.59,-38.28,-13.28,0,0
6.800,-39.77,-38.76,-13.76,0,0
6.900,-39.26,-38.92,-13.92,0,0
7.000,-29.94,-38.92,-13.92,0,0
7.100,-24.51,-38.92,-13.92,0,0
7.200,-18.38,-38.92,-13.92,0,0
7.300,-31.30,-38.92,-13.92,0,0
7.400,-23.25,-38.92,-13.92,0,0
7.500,-22.38,-38.92,-13.92,0,0
7.600,-21.93,-38.92,-13.92,0,0
7.700,-24.23,-38.92,-13.92,0,0
7.800,-30.37,-38.92,-13.92,0,0
7.900,-25.89,-38.92,-13.92,0,0
8.000,-22.04,-38.92,-13.92,0,0
8.100,-26.06,-38.92,-13.92,0,0
8.200,-29.85,-38.92,-13.92,0,0
8.300,-36.51,-38.92,-13.92,0,0
8.400,-36.31,-38.92,-13.92,0,0
8.500,-19.12,-38.92,-13.92,0,0
8.600,-29.70,-38.92,-13.92,0,0
8.700,-32.63,-38.92,-13.92,0,0
8.800,-31.23,-38.92,-13.92,0,0
8.900,-29.04,-38.92,-13.92,0,0
9.000,-31.30,-38.92,-13.92,0,0
9.100,-27.67,-38.92,-13.92,0,0
9.200,-31.94,-38.92,-13.92,0,0
9.300,-30.99,-37.90,-12.90,0,0
9.400,-22.30,-37.90,-12.90,0,0
9.500,-25.70,-37.90,-12.90,0,0
9.600,-36.89,-37.90,-12.90,0,0
9.700,-38.17,-38.24,-13.24,0,0
9.800,-40.50,-38.92,-13.92,0,0
9.900,-35.12,-38.92,-13.92,0,0
10.000,-22.18,-38.92,-13.92,0,0
10.100,-19.10,-38.92,-13.92,0,0
10.200,-22.23,-38.92,-13.92,0,0
10.300,-32.20,-38.92,-13.92,0,0
10.400,-37.10,-38.92,-13.92,0,0
10.500,-37.63,-38.92,-13.92,0,0
10.600,-32.20,-38.92,-13.92,0,0
10.700,-21.24,-38.92,-13.92,0,0
10.800,-33.02,-38.92,-13.92,0,0
10.900,-23.06,-38.92,-13.92,0,0
11.000,-24.95,-38.92,-13.92,0,0
11.100,-28.20,-38.92,-13.92,0,0
11.200,-35.96,-38.92,-13.92,0,0
11.300,-19.89,-38.92,-13.92,0,0
11.400,-23.96,-38.28,-13.28,0,0
11.500,-23.50,-38.28,-13.28,0,0
11.600,-31.00,-37.69,-12.69,0,0
11.700,-33.79,-37.15,-12.15,0,0
11.800,-23.44,-36.91,-11.91,0,0
11.900,-32.90,-36.55,-11.55,0,0
12.000,-31.45,-36.55,-11.55,0,0
12.100,-29.03,-36.55,-11.55,0,0
12.200,-24.06,-36.55,-11.55,0,0
12.300,-27.79,-36.55,-11.55,0,0
12.400,-26.43,-36.55,-11.55,0,0
12.500,-32.68,-36.55,-11.55,0,0
12.600,-39.48,-36.91,-11.91,0,0
12.700,-39.46,-37.15,-12.15,0,0
12.800,-39.44,-37.69,-12.69,0,0
12.900,-33.13,-37.69,-12.69,0,0
13.000,-20.26,-37.69,-12.69,0,0
13.100,-22.02,-37.69,-12.69,0,0
13.200,-15.30,-37.69,-12.69,0,0
13.300,-9.68,-37.69,-12.69,1,0
13.400,-9.86,-37.69,-12.69,1,0
13.500,-11.09,-37.69,-12.69,1,0
13.600,-23.11,-37.69,-12.69,0,0
13.700,-36.22,-37.69,-12.69,0,0
13.800,-17.26,-37.69,-12.69,0,0
13.900,-21.62,-37.69,-12.69,0,0
14.000,-17.85,-37.69,-12.69,0,0
14.100,-13.56,-37.69,-12.69,0,0
14.200,-21.57,-37.69,-12.69,0,0
14.300,-17.50,-37.69,-12.69,0,0
14.400,-14.29,-37.69,-12.69,0,0
14.500,-15.70,-37.69,-12.69,0,0
14.600,-26.32,-37.69,-12.69,0,0
14.700,-21.40,-37.15,-12.15,0,0
14.800,-30.22,-36.31,-11.31,0,0
14.900,-25.94,-36.31,-11.31,0,0
15.000,-22.42,-36.31,-11.31,0,0
15.100,-30.72,-36.31,-11.31,0,0
15.200,-20.76,-36.31,-11.31,0,0
