time_s,dbfs,floor_dbfs,threshold_dbfs,is_above_threshold,event_fired
0.000,-31.33,,,0,0
0.100,-29.81,,,0,0
0.200,-35.34,,,0,0
0.300,-36.50,,,0,0
0.400,-27.68,,,0,0
0.500,-33.09,,,0,0
0.600,-36.77,,,0,0
0.700,-31.75,,,0,0
0.800,-35.62,,,0,0
0.900,-27.78,-36.53,-11.53,0,0
1.000,-29.14,-36.50,-11.50,0,0
1.100,-23.77,-36.41,-11.41,0,0
1.200,-26.45,-36.33,-11.33,0,0
1.300,-37.02,-36.69,-11.69,0,0
1.400,-47.36,-36.92,-11.92,0,0
1.500,-28.91,-36.90,-11.90,0,0
1.600,-27.85,-36.87,-11.87,0,0
1.700,-38.28,-37.40,-12.40,0,0
1.800,-48.93,-40.10,-15.10,0,0
1.900,-34.95,-39.19,-14.19,0,0
2.000,-35.44,-38.28,-13.28,0,0
2.100,-32.06,-38.15,-13.15,0,0
2.200,-31.33,-38.03,-13.03,0,0
2.300,-45.02,-43.00,-18.00,0,0
2.400,-30.37,-42.32,-17.32,0,0
2.500,-28.81,-41.65,-16.65,0,0
2.600,-36.09,-40.98,-15.98,0,0
2.700,-36.96,-40.30,-15.30,0,0
2.800,-37.87,-39.63,-14.63,0,0
2.900,-33.81,-38.95,-13.95,0,0
3.000,-32.80,-38.28,-13.28,0,0
3.100,-33.38,-38.24,-13.24,0,0
3.200,-36.30,-38.20,-13.20,0,0
3.300,-43.93,-42.24,-17.24,0,0
3.400,-43.56,-43.78,-18.78,0,0
3.500,-55.83,-44.48,-19.48,0,0
3.600,-62.34,-45.96,-20.96,0,0
3.700,-66.04,-47.84,-22.84,0,0
3.800,-63.93,-50.31,-25.31,0,0
3.900,-62.49,-56.48,-31.48,0,0
4.000,-37.22,-55.83,-30.83,0,0
4.100,-37.79,-55.14,-30.14,0,0
4.200,-29.05,-54.45,-29.45,1,0
4.300,-35.34,-53.76,-28.76,0,0
4.400,-39.80,-53.07,-28.07,0,0
4.500,-41.25,-52.38,-27.38,0,0
4.600,-33.31,-51.69,-26.69,0,0
4.700,-38.25,-51.00,-26.00,0,0
4.800,-41.36,-50.31,-25.31,0,0
4.900,-42.93,-49.62,-24.62,0,0
5.000,-40.19,-49.62,-24.62,0,0
5.100,-32.51,-49.62,-24.62,0,0
5.200,-34.40,-49.62,-24.62,0,0
5.300,-47.07,-49.62,-24.62,0,0
5.400,-38.55,-49.62,-24.62,0,0
5.500,-35.28,-49.62,-24.62,0,0
5.600,-47.77,-49.62,-24.62,0,0
5.700,-45.44,-49.62,-24.62,0,0
5.800,-54.47,-54.61,-29.61,0,0
5.900,-62.11,-56.46,-31.46,0,0
6.000,-61.07,-61.17,-36.17,0,0
6.100,-60.70,-61.17,-36.17,0,0
6.200,-60.15,-61.17,-36.17,0,0
6.300,-63.87,-62.13,-37.13,0,0
6.400,-41.84,-62.13,-37.13,0,0
6.500,-41.73,-62.13,-37.13,0,0
6.600,-31.83,-62.13,-37.13,1,0
6.700,-39.23,-62.13,-37.13,0,0
6.800,-29.29,-62.13,-37.13,1,0
6.900,-26.81,-62.13,-37.13,1,0
7.000,-28.84,-62.13,-37.13,1,0
7.100,-30.16,-62.13,-37.13,1,0
7.200,-32.36,-62.13,-37.13,1,1
7.300,-36.37,-62.13,-37.13,1,0
7.400,-27.62,-62.13,-37.13,1,0
7.500,-29.10,-62.13,-37.13,1,0
7.600,-30.59,-62.13,-37.13,1,0
7.700,-44.41,-62.13,-37.13,0,0
7.800,-44.80,-62.13,-37.13,0,0
7.900,-50.24,-62.13,-37.13,0,0
8.000,-28.29,-62.13,-37.13,1,0
8.100,-42.61,-62.13,-37.13,0,0
8.200,-34.39,-62.13,-37.13,1,0
8.300,-43.13,-62.13,-37.13,0,0
8.400,-42.98,-62.13,-37.13,0,0
8.500,-37.03,-62.13,-37.13,1,0
