time_s,dbfs,floor_dbfs,threshold_dbfs,is_above_threshold,event_fired
0.000,-41.10,,,0,0
0.100,-29.19,,,0,0
0.200,-36.49,,,0,0
0.300,-39.00,,,0,0
0.400,-39.24,,,0,0
0.500,-30.63,,,0,0
0.600,-41.45,,,0,0
0.700,-32.63,,,0,0
0.800,-38.42,,,0,0
0.900,-32.31,-41.14,-16.14,0,0
1.000,-32.00,-41.10,-16.10,0,0
1.100,-25.93,-40.92,-15.92,0,0
1.200,-30.41,-40.73,-15.73,0,0
1.300,-43.50,-41.35,-16.35,0,0
1.400,-44.79,-42.68,-17.68,0,0
1.500,-28.83,-42.48,-17.48,0,0
1.600,-28.95,-42.27,-17.27,0,0
1.700,-37.00,-42.07,-17.07,0,0
1.800,-36.88,-41.86,-16.86,0,0
1.900,-39.53,-41.66,-16.66,0,0
2.000,-44.48,-43.50,-18.50,0,0
2.100,-34.35,-43.29,-18.29,0,0
2.200,-35.42,-43.09,-18.09,0,0
2.300,-33.34,-42.88,-17.88,0,0
2.400,-41.98,-42.89,-17.89,0,0
2.500,-31.57,-42.74,-17.74,0,0
2.600,-32.37,-42.59,-17.59,0,0
2.700,-37.15,-42.44,-17.44,0,0
2.800,-37.82,-42.29,-17.29,0,0
2.900,-36.68,-42.14,-17.14,0,0
3.000,-32.10,-41.98,-16.98,0,0
3.100,-36.86,-41.93,-16.93,0,0
3.200,-32.94,-41.88,-16.88,0,0
3.300,-34.25,-41.83,-16.83,0,0
3.400,-40.32,-41.77,-16.77,0,0
3.500,-34.37,-41.72,-16.72,0,0
3.600,-41.04,-41.67,-16.67,0,0
3.700,-60.53,-42.44,-17.44,0,0
3.800,-66.57,-43.69,-18.69,0,0
3.900,-40.13,-43.60,-18.60,0,0
4.000,-39.00,-43.50,-18.50,0,0
4.100,-29.66,-43.35,-18.35,0,0
4.200,-34.44,-43.19,-18.19,0,0
4.300,-36.77,-43.04,-18.04,0,0
4.400,-45.13,-44.09,-19.09,0,0
4.500,-34.59,-43.99,-18.99,0,0
4.600,-41.14,-43.89,-18.89,0,0
4.700,-37.35,-43.79,-18.79,0,0
4.800,-40.55,-43.69,-18.69,0,0
4.900,-34.01,-43.60,-18.60,0,0
5.000,-34.42,-43.60,-18.60,0,0
5.100,-38.56,-43.60,-18.60,0,0
5.200,-41.58,-43.60,-18.60,0,0
5.300,-35.31,-43.60,-18.60,0,0
5.400,-38.81,-43.60,-18.60,0,0
5.500,-42.64,-43.60,-18.60,0,0
5.600,-46.96,-44.51,-19.51,0,0
5.700,-67.05,-44.82,-19.82,0,0
5.800,-64.06,-45.31,-20.31,0,0
5.900,-60.40,-48.30,-23.30,0,0
6.000,-58.63,-58.81,-33.81,0,0
6.100,-43.87,-58.81,-33.81,0,0
6.200,-36.29,-58.81,-33.81,0,0
6.300,-32.99,-58.81,-33.81,1,0
6.400,-34.12,-58.81,-33.81,0,0
6.500,-38.31,-58.81,-33.81,0,0
6.600,-30.43,-58.81,-33.81,1,0
6.700,-30.62,-58.81,-33.81,1,0
6.800,-30.50,-58.81,-33.81,1,0
6.900,-29.33,-58.81,-33.81,1,0
7.000,-42.10,-58.81,-33.81,0,0
7.100,-34.59,-58.81,-33.81,0,0
7.200,-31.86,-58.81,-33.81,1,0
7.300,-31.43,-58.81,-33.81,1,0
7.400,-37.52,-58.81,-33.81,0,0
7.500,-48.51,-58.81,-33.81,0,0
7.600,-44.09,-58.81,-33.81,0,0
7.700,-33.94,-58.81,-33.81,0,0
7.800,-41.27,-58.81,-33.81,0,0
7.900,-41.36,-58.81,-33.81,0,0
8.000,-47.21,-58.81,-33.81,0,0
8.100,-38.65,-58.81,-33.81,0,0
