time_s,dbfs,floor_dbfs,threshold_dbfs,is_above_threshold,event_fired
0.000,-37.52,,,0,0
0.100,-30.68,,,0,0
0.200,-17.76,,,0,0
0.300,-22.74,,,0,0
0.400,-35.74,,,0,0
0.500,-50.55,,,0,0
0.600,-27.16,,,0,0
0.700,-29.27,,,0,0
0.800,-23.71,,,0,0
0.900,-32.87,-38.82,-13.82,0,0
1.000,-30.15,-37.52,-12.52,0,0
1.100,-26.14,-37.34,-12.34,0,0
1.200,-30.50,-37.16,-12.16,0,0
1.300,-26.26,-36.99,-11.99,0,0
1.400,-27.42,-36.81,-11.81,0,0
1.500,-18.84,-36.63,-11.63,0,0
1.600,-21.28,-36.45,-11.45,0,0
1.700,-36.78,-37.00,-12.00,0,0
1.800,-44.49,-38.91,-13.91,0,0
1.900,-24.21,-38.22,-13.22,0,0
2.000,-24.42,-37.52,-12.52,0,0
2.100,-32.15,-37.45,-12.45,0,0
2.200,-47.02,-43.10,-18.10,0,0
2.300,-25.02,-42.40,-17.40,0,0
2.400,-23.69,-41.70,-16.70,0,0
2.500,-30.44,-41.00,-16.00,0,0
2.600,-32.71,-40.31,-15.31,0,0
2.700,-30.00,-39.61,-14.61,0,0
2.800,-34.41,-38.91,-13.91,0,0
2.900,-44.21,-44.24,-19.24,0,0
3.000,-26.07,-44.21,-19.21,0,0
3.100,-24.15,-43.54,-18.54,0,0
3.200,-25.75,-42.87,-17.87,0,0
3.300,-31.10,-42.20,-17.20,0,0
3.400,-39.66,-42.39,-17.39,0,0
3.500,-39.24,-41.94,-16.94,0,0
3.600,-32.28,-41.48,-16.48,0,0
3.700,-30.55,-41.03,-16.03,0,0
3.800,-29.51,-40.57,-15.57,0,0
3.900,-33.10,-40.12,-15.12,0,0
4.000,-27.42,-39.66,-14.66,0,0
4.100,-31.26,-39.62,-14.62,0,0
4.200,-35.53,-39.58,-14.58,0,0
4.300,-36.82,-39.54,-14.54,0,0
4.400,-42.03,-41.08,-16.08,0,0
4.500,-63.43,-43.12,-18.12,0,0
4.600,-59.36,-44.32,-19.32,0,0
4.700,-62.06,-45.25,-20.25,0,0
4.800,-34.89,-45.00,-20.00,0,0
4.900,-31.59,-44.74,-19.74,0,0
5.000,-26.71,-44.74,-19.74,0,0
5.100,-21.96,-44.74,-19.74,0,0
5.200,-28.20,-44.74,-19.74,0,0
5.300,-34.67,-44.74,-19.74,0,0
5.400,-34.70,-44.74,-19.74,0,0
5.500,-25.12,-44.24,-19.24,0,0
5.600,-33.67,-44.24,-19.24,0,0
5.700,-38.77,-44.24,-19.24,0,0
5.800,-35.98,-44.24,-19.24,0,0
5.900,-42.21,-44.24,-19.24,0,0
6.000,-25.21,-44.24,-19.24,0,0
6.100,-28.50,-44.24,-19.24,0,0
6.200,-39.10,-44.24,-19.24,0,0
6.300,-32.61,-44.24,-19.24,0,0
6.400,-28.98,-44.24,-19.24,0,0
6.500,-39.42,-44.24,-19.24,0,0
6.600,-38.20,-44.24,-19.24,0,0
6.700,-47.93,-44.74,-19.74,0,0
6.800,-65.10,-47.11,-22.11,0,0
6.900,-60.29,-49.07,-24.07,0,0
7.000,-60.73,-59.45,-34.45,0,0
7.100,-38.89,-59.45,-34.45,0,0
7.200,-35.17,-59.45,-34.45,0,0
7.300,-22.16,-59.45,-34.45,1,0
7.400,-23.23,-59.45,-34.45,1,0
7.500,-33.55,-59.45,-34.45,1,0
7.600,-29.98,-59.45,-34.45,1,0
7.700,-22.31,-59.45,-34.45,1,1
7.800,-25.40,-59.45,-34.45,1,0
7.900,-28.40,-59.45,-34.45,1,0
8.000,-40.44,-59.45,-34.45,0,0
8.100,-24.19,-59.45,-34.45,1,0
8.200,-18.77,-59.45,-34.45,1,0
8.300,-27.17,-59.45,-34.45,1,0
8.400,-30.83,-59.45,-34.45,1,0
8.500,-39.98,-59.45,-34.45,0,0
8.600,-30.83,-59.45,-34.45,1,0
8.700,-24.40,-59.45,-34.45,1,0
8.800,-25.36,-59.45,-34.45,1,0
8.900,-25.97,-59.45,-34.45,1,0
9.000,-28.55,-59.45,-34.45,1,0
9.100,-34.12,-59.45,-34.45,1,0
9.200,-36.91,-59.45,-34.45,0,0
9.300,-27.43,-59.45,-34.45,1,0
9.400,-37.45,-59.45,-34.45,0,0
9.500,-25.95,-49.07,-24.07,0,0
9.600,-26.08,-42.78,-17.78,0,0
9.700,-28.50,-40.62,-15.62,0,0
9.800,-33.82,-40.62,-15.62,0,0
9.900,-26.49,-40.62,-15.62,0,0
10.000,-30.01,-40.62,-15.62,0,0
10.100,-37.41,-40.62,-15.62,0,0
10.200,-28.76,-40.62,-15.62,0,0
10.300,-41.57,-41.63,-16.63,0,0
10.400,-29.61,-41.63,-16.63,0,0
10.500,-21.59,-41.63,-16.63,0,0
10.600,-27.63,-41.63,-16.63,0,0
10.700,-44.93,-42.49,-17.49,0,0
10.800,-51.84,-45.23,-20.23,0,0
10.900,-56.57,-48.32,-23.32,0,0
11.000,-40.27,-48.32,-23.32,0,0
11.100,-26.55,-48.32,-23.32,0,0
11.200,-21.72,-48.32,-23.32,1,0
11.300,-21.76,-48.32,-23.32,1,0
