time_s,dbfs,floor_dbfs,threshold_dbfs,is_above_threshold,event_fired
0.000,-31.24,,,0,0
0.100,-17.37,,,0,0
0.200,-19.81,,,0,0
0.300,-25.61,,,0,0
0.400,-28.74,,,0,0
0.500,-23.19,,,0,0
0.600,-26.28,,,0,0
0.700,-31.61,,,0,0
0.800,-27.52,,,0,0
0.900,-29.74,-29.49,-9.49,0,0
1.000,-26.40,-29.24,-9.24,0,0
1.100,-25.68,-28.99,-8.99,0,0
1.200,-15.70,-28.74,-8.74,0,0
1.300,-17.60,-28.44,-8.44,0,0
1.400,-29.26,-29.00,-9.00,0,0
1.500,-33.43,-29.38,-9.38,0,0
1.600,-19.37,-29.26,-9.26,0,0
1.700,-22.71,-29.13,-9.13,0,0
1.800,-27.99,-29.00,-9.00,0,0
1.900,-37.17,-29.38,-9.38,0,0
2.000,-22.43,-29.26,-9.26,0,0
2.100,-27.54,-29.13,-9.13,0,0
2.200,-25.57,-29.00,-9.00,0,0
2.300,-30.13,-29.38,-9.38,0,0
2.400,-26.40,-29.26,-9.26,0,0
2.500,-20.30,-29.13,-9.13,0,0
2.600,-24.83,-29.00,-9.00,0,0
2.700,-24.84,-28.87,-8.87,0,0
2.800,-25.39,-28.74,-8.74,0,0
2.900,-22.48,-28.56,-8.56,0,0
3.000,-23.46,-28.37,-8.37,0,0
3.100,-26.06,-28.18,-8.18,0,0
3.200,-26.65,-27.99,-7.99,0,0
3.300,-22.71,-27.88,-7.88,0,0
3.400,-31.56,-28.37,-8.37,0,0
3.500,-32.43,-28.87,-8.87,0,0
3.600,-31.57,-29.26,-9.26,0,0
3.700,-36.58,-29.62,-9.62,0,0
3.800,-37.40,-29.93,-9.93,0,0
3.900,-37.38,-30.40,-10.40,0,0
4.000,-36.37,-31.24,-11.24,0,0
4.100,-25.36,-30.96,-10.96,0,0
4.200,-33.97,-31.40,-11.40,0,0
4.300,-21.90,-31.32,-11.32,0,0
4.400,-25.23,-31.24,-11.24,0,0
4.500,-28.18,-30.96,-10.96,0,0
4.600,-32.92,-31.40,-11.40,0,0
4.700,-22.39,-31.32,-11.32,0,0
4.800,-27.58,-31.24,-11.24,0,0
4.900,-36.37,-31.48,-11.48,0,0
5.000,-30.48,-31.29,-11.29,0,0
5.100,-33.74,-31.57,-11.57,0,0
5.200,-24.91,-31.57,-11.57,0,0
5.300,-23.01,-31.57,-11.57,0,0
5.400,-25.27,-31.57,-11.57,0,0
5.500,-29.54,-31.57,-11.57,0,0
5.600,-23.77,-31.57,-11.57,0,0
5.700,-22.87,-31.29,-11.29,0,0
5.800,-36.04,-31.57,-11.57,0,0
5.900,-34.45,-32.22,-12.22,0,0
6.000,-38.31,-32.79,-12.79,0,0
6.100,-39.86,-33.30,-13.30,0,0
6.200,-40.47,-33.66,-13.66,0,0
6.300,-40.18,-33.91,-13.91,0,0
6.400,-40.62,-34.33,-14.33,0,0
6.500,-31.78,-34.33,-14.33,0,0
6.600,-31.01,-34.33,-14.33,0,0
6.700,-20.92,-34.33,-14.33,0,0
6.800,-20.43,-34.33,-14.33,0,0
6.900,-25.31,-33.91,-13.91,0,0
7.000,-25.66,-33.91,-13.91,0,0
7.100,-21.36,-33.91,-13.91,0,0
7.200,-25.55,-33.91,-13.91,0,0
7.300,-26.94,-33.91,-13.91,0,0
7.400,-37.43,-34.33,-14.33,0,0
7.500,-19.40,-34.33,-14.33,0,0
7.600,-23.85,-34.33,-14.33,0,0
7.700,-22.41,-34.33,-14.33,0,0
7.800,-30.18,-34.33,-14.33,0,0
7.900,-33.56,-34.33,-14.33,0,0
8.000,-37.58,-35.64,-15.64,0,0
8.100,-20.12,-35.64,-15.64,0,0
8.200,-32.11,-35.64,-15.64,0,0
8.300,-30.74,-35.64,-15.64,0,0
8.400,-27.91,-35.64,-15.64,0,0
8.500,-28.49,-35.64,-15.64,0,0
8.600,-30.79,-35.64,-15.64,0,0
8.700,-26.53,-34.33,-14.33,0,0
8.800,-32.63,-33.91,-13.91,0,0
8.900,-31.41,-33.69,-13.69,0,0
9.000,-22.16,-33.40,-13.40,0,0
9.100,-25.33,-33.40,-13.40,0,0
9.200,-36.28,-33.40,-13.40,0,0
9.300,-37.63,-33.69,-13.69,0,0
9.400,-36.90,-34.27,-14.27,0,0
9.500,-38.09,-35.64,-15.64,0,0
9.600,-24.74,-35.64,-15.64,0,0
9.700,-20.89,-35.64,-15.64,0,0
9.800,-18.95,-35.64,-15.64,0,0
9.900,-23.24,-34.27,-14.27,0,0
10.000,-24.35,-34.27,-14.27,0,0
10.100,-19.49,-34.23,-14.23,0,0
10.200,-33.22,-34.23,-14.23,0,0
10.300,-21.99,-34.23,-14.23,0,0
10.400,-25.22,-34.23,-14.23,0,0
10.500,-30.87,-34.23,-14.23,0,0
10.600,-31.50,-34.23,-14.23,0,0
10.700,-21.48,-34.23,-14.23,0,0
10.800,-18.61,-33.48,-13.48,0,0
10.900,-30.80,-33.07,-13.07,0,0
11.000,-20.53,-32.50,-12.50,0,0
11.100,-33.02,-32.50,-12.50,0,0
11.200,-23.94,-32.03,-12.03,0,0
11.300,-26.78,-31.71,-11.71,0,0
11.400,-31.91,-31.71,-11.71,0,0
11.500,-26.81,-31.48,-11.48,0,0
11.600,-27.81,-31.48,-11.48,0,0
11.700,-22.71,-31.48,-11.48,0,0
11.800,-29.36,-31.48,-11.48,0,0
11.900,-28.87,-31.48,-11.48,0,0
12.000,-33.12,-31.81,-11.81,0,0
12.100,-33.41,-32.06,-12.06,0,0
12.200,-37.97,-32.50,-12.50,0,0
12.300,-38.68,-32.93,-12.93,0,0
12.400,-38.55,-32.93,-12.93,0,0
12.500,-29.08,-32.93,-12.93,0,0
12.600,-25.06,-32.93,-12.93,0,0
12.700,-17.86,-32.93,-12.93,0,0
12.800,-19.71,-32.93,-12.93,0,0
12.900,-27.33,-32.50,-12.50,0,0
13.000,-16.61,-32.06,-12.06,0,0
13.100,-32.99,-32.50,-12.50,0,0
13.200,-22.38,-32.45,-12.45,0,0
13.300,-27.20,-32.45,-12.45,0,0
13.400,-36.13,-32.90,-12.90,0,0
13.500,-24.02,-32.90,-12.90,0,0
13.600,-30.52,-32.90,-12.90,0,0
13.700,-29.62,-32.90,-12.90,0,0
13.800,-34.36,-33.02,-13.02,0,0
13.900,-24.41,-33.02,-13.02,0,0
14.000,-29.11,-33.02,-13.02,0,0
14.100,-33.41,-33.10,-13.10,0,0
14.200,-25.47,-33.02,-13.02,0,0
14.300,-27.04,-32.72,-12.72,0,0
14.400,-25.57,-31.81,-11.81,0,0
14.500,-32.09,-31.81,-11.81,0,0
14.600,-24.91,-31.81,-11.81,0,0
14.700,-24.91,-31.81,-11.81,0,0
14.800,-34.45,-32.05,-12.05,0,0
14.900,-28.23,-32.05,-12.05,0,0
15.000,-27.27,-32.05,-12.05,0,0
15.100,-27.12,-32.05,-12.05,0,0
15.200,-37.01,-32.05,-12.05,0,0
15.300,-28.07,-32.05,-12.05,0,0
15.400,-23.38,-32.05,-12.05,0,0
15.500,-24.38,-32.05,-12.05,0,0
15.600,-33.61,-32.76,-12.76,0,0
15.700,-22.25,-32.76,-12.76,0,0
15.800,-23.59,-32.76,-12.76,0,0
15.900,-28.08,-32.76,-12.76,0,0
16.000,-30.02,-32.76,-12.76,0,0
16.100,-23.67,-32.05,-12.05,0,0
16.200,-27.13,-32.05,-12.05,0,0
16.300,-23.21,-32.05,-12.05,0,0
16.400,-35.48,-32.76,-12.76,0,0
16.500,-25.88,-32.76,-12.76,0,0
16.600,-31.09,-32.76,-12.76,0,0
16.700,-27.16,-32.76,-12.76,0,0
16.800,-23.31,-32.76,-12.76,0,0
16.900,-25.12,-32.76,-12.76,0,0
17.000,-23.16,-31.84,-11.84,0,0
17.100,-23.07,-30.95,-10.95,0,0
17.200,-28.67,-30.39,-10.39,0,0
17.300,-32.57,-30.39,-10.39,0,0
17.400,-38.17,-30.39,-10.39,0,0
17.500,-24.89,-30.39,-10.39,0,0
17.600,-26.92,-30.39,-10.39,0,0
17.700,-34.61,-30.95,-10.95,0,0
17.800,-36.26,-31.84,-11.84,0,0
17.900,-38.02,-32.45,-12.45,0,0
18.000,-37.97,-32.89,-12.89,0,0
18.100,-38.44,-33.20,-13.20,0,0
18.200,-39.04,-33.56,-13.56,0,0
18.300,-39.45,-34.17,-14.17,0,0
18.400,-39.87,-34.17,-14.17,0,0
18.500,-30.47,-34.17,-14.17,0,0
18.600,-31.16,-34.17,-14.17,0,0
18.700,-19.59,-34.17,-14.17,0,0
18.800,-17.92,-33.56,-13.56,0,0
18.900,-26.21,-33.56,-13.56,0,0
19.000,-27.69,-33.56,-13.56,0,0
19.100,-19.82,-33.35,-13.35,0,0
19.200,-28.42,-33.35,-13.35,0,0
19.300,-31.70,-33.35,-13.35,0,0
19.400,-34.74,-34.24,-14.24,0,0
19.500,-36.88,-34.57,-14.57,0,0
19.600,-38.85,-34.71,-14.71,0,0
19.700,-38.13,-35.29,-15.29,0,0
19.800,-39.49,-36.06,-16.06,0,0
19.900,-40.36,-36.73,-16.73,0,0
20.000,-40.53,-36.98,-16.98,0,0
20.100,-45.67,-37.73,-17.73,0,0
