time_s,dbfs,floor_dbfs,threshold_dbfs,is_above_threshold,event_fired
0.000,-34.16,,,0,0
0.100,-22.62,,,0,0
0.200,-21.89,,,0,0
0.300,-33.77,,,0,0
0.400,-24.48,,,0,0
0.500,-32.24,,,0,0
0.600,-24.63,,,0,0
0.700,-34.01,,,0,0
0.800,-26.23,,,0,0
0.900,-27.21,-33.39,-13.39,0,0
1.000,-26.37,-33.01,-13.01,0,0
1.100,-25.27,-32.63,-12.63,0,0
1.200,-23.61,-32.24,-12.24,0,0
1.300,-17.76,-30.98,-10.98,0,0
1.400,-20.87,-29.73,-9.73,0,0
1.500,-33.52,-32.56,-12.56,0,0
1.600,-33.13,-33.13,-13.13,0,0
1.700,-21.30,-32.91,-12.91,0,0
1.800,-23.26,-32.69,-12.69,0,0
1.900,-28.95,-32.47,-12.47,0,0
2.000,-26.61,-32.24,-12.24,0,0
2.100,-31.37,-32.02,-12.02,0,0
2.200,-25.61,-31.81,-11.81,0,0
2.300,-23.06,-31.59,-11.59,0,0
2.400,-23.01,-31.37,-11.37,0,0
2.500,-24.76,-30.76,-10.76,0,0
2.600,-28.68,-30.16,-10.16,0,0
2.700,-36.06,-31.59,-11.59,0,0
2.800,-26.21,-31.37,-11.37,0,0
2.900,-24.67,-30.76,-10.76,0,0
3.000,-24.18,-30.16,-10.16,0,0
3.100,-30.46,-30.68,-10.68,0,0
3.200,-24.19,-30.46,-10.46,0,0
3.300,-26.97,-30.08,-10.08,0,0
3.400,-28.61,-29.70,-9.70,0,0
3.500,-30.11,-30.20,-10.20,0,0
3.600,-26.59,-30.11,-10.11,0,0
3.700,-31.04,-30.37,-10.37,0,0
3.800,-33.49,-30.75,-10.75,0,0
3.900,-34.79,-31.12,-11.12,0,0
4.000,-36.93,-31.37,-11.37,0,0
4.100,-38.75,-32.02,-12.02,0,0
4.200,-38.23,-32.69,-12.69,0,0
4.300,-39.75,-33.22,-13.22,0,0
4.400,-30.37,-33.13,-13.13,0,0
4.500,-26.42,-32.91,-12.91,0,0
4.600,-24.47,-32.69,-12.69,0,0
4.700,-21.28,-32.47,-12.47,0,0
4.800,-24.28,-32.24,-12.24,0,0
4.900,-32.92,-32.75,-12.75,0,0
5.000,-30.77,-32.02,-12.02,0,0
5.100,-24.16,-32.02,-12.02,0,0
5.200,-33.21,-32.75,-12.75,0,0
5.300,-31.58,-32.08,-12.08,0,0
5.400,-32.82,-32.68,-12.68,0,0
5.500,-30.61,-32.51,-12.51,0,0
5.600,-20.79,-32.51,-12.51,0,0
5.700,-22.75,-31.53,-11.53,0,0
5.800,-29.92,-31.53,-11.53,0,0
5.900,-28.14,-31.53,-11.53,0,0
6.000,-26.72,-31.53,-11.53,0,0
6.100,-28.00,-31.53,-11.53,0,0
6.200,-33.71,-32.51,-12.51,0,0
6.300,-34.27,-32.90,-12.90,0,0
6.400,-38.89,-33.08,-13.08,0,0
6.500,-37.79,-33.08,-13.08,0,0
6.600,-39.37,-33.14,-13.14,0,0
6.700,-39.59,-33.42,-13.42,0,0
6.800,-39.77,-33.65,-13.65,0,0
6.900,-39.26,-34.13,-14.13,0,0
7.000,-29.94,-34.13,-14.13,0,0
7.100,-24.51,-34.13,-14.13,0,0
7.200,-18.38,-34.13,-14.13,0,0
7.300,-31.30,-34.13,-14.13,0,0
7.400,-23.25,-34.13,-14.13,0,0
7.500,-22.38,-34.13,-14.13,0,0
7.600,-21.93,-34.13,-14.13,0,0
7.700,-24.23,-33.65,-13.65,0,0
7.800,-30.37,-33.65,-13.65,0,0
7.900,-25.89,-33.65,-13.65,0,0
8.000,-22.04,-33.65,-13.65,0,0
8.100,-26.06,-33.65,-13.65,0,0
8.200,-29.85,-33.65,-13.65,0,0
8.300,-36.51,-34.13,-14.13,0,0
8.400,-36.31,-34.66,-14.66,0,0
8.500,-19.12,-34.66,-14.66,0,0
8.600,-29.70,-34.66,-14.66,0,0
8.700,-32.63,-34.66,-14.66,0,0
8.800,-31.23,-34.66,-14.66,0,0
8.900,-29.04,-34.13,-14.13,0,0
9.000,-31.30,-33.58,-13.58,0,0
9.100,-27.67,-33.14,-13.14,0,0
9.200,-31.94,-32.90,-12.90,0,0
9.300,-30.99,-32.77,-12.77,0,0
9.400,-22.30,-32.77,-12.77,0,0
9.500,-25.70,-32.77,-12.77,0,0
9.600,-36.89,-32.90,-12.90,0,0
9.700,-38.17,-33.14,-13.14,0,0
9.800,-40.50,-33.58,-13.58,0,0
9.900,-35.12,-34.13,-14.13,0,0
10.000,-22.18,-34.13,-14.13,0,0
10.100,-19.10,-34.13,-14.13,0,0
10.200,-22.23,-34.13,-14.13,0,0
10.300,-32.20,-34.13,-14.13,0,0
10.400,-37.10,-34.91,-14.91,0,0
10.500,-37.63,-36.01,-16.01,0,0
10.600,-32.20,-36.01,-16.01,0,0
10.700,-21.24,-36.01,-16.01,0,0
10.800,-33.02,-36.01,-16.01,0,0
10.900,-23.06,-36.01,-16.01,0,0
11.000,-24.95,-36.01,-16.01,0,0
11.100,-28.20,-36.01,-16.01,0,0
11.200,-35.96,-36.22,-16.22,0,0
11.300,-19.89,-36.22,-16.22,0,0
11.400,-23.96,-35.75,-15.75,0,0
11.500,-23.50,-34.60,-14.60,0,0
11.600,-31.00,-32.92,-12.92,0,0
11.700,-33.79,-32.92,-12.92,0,0
11.800,-23.44,-32.52,-12.52,0,0
11.900,-32.90,-32.52,-12.52,0,0
12.000,-31.45,-32.52,-12.52,0,0
12.100,-29.03,-32.52,-12.52,0,0
12.200,-24.06,-32.52,-12.52,0,0
12.300,-27.79,-32.52,-12.52,0,0
12.400,-26.43,-32.52,-12.52,0,0
12.500,-32.68,-32.66,-12.66,0,0
12.600,-39.48,-32.85,-12.85,0,0
12.700,-39.46,-32.99,-12.99,0,0
12.800,-39.44,-33.59,-13.59,0,0
12.900,-33.13,-33.62,-13.62,0,0
13.000,-20.26,-33.62,-13.62,0,0
13.100,-22.02,-33.62,-13.62,0,0
13.200,-15.30,-33.62,-13.62,0,0
13.300,-9.68,-33.10,-13.10,1,0
13.400,-9.86,-32.99,-12.99,1,0
13.500,-11.09,-32.99,-12.99,1,0
13.600,-23.11,-32.99,-12.99,0,0
13.700,-36.22,-33.10,-13.10,0,0
13.800,-17.26,-33.10,-13.10,0,0
13.900,-21.62,-33.10,-13.10,0,0
14.000,-17.85,-33.10,-13.10,0,0
14.100,-13.56,-33.10,-13.10,0,0
14.200,-21.57,-33.10,-13.10,0,0
14.300,-17.50,-33.10,-13.10,0,0
14.400,-14.29,-33.10,-13.10,0,0
14.500,-15.70,-33.10,-13.10,0,0
14.600,-26.32,-32.99,-12.99,0,0
14.700,-21.40,-32.85,-12.85,0,0
14.800,-30.22,-32.56,-12.56,0,0
14.900,-25.94,-32.20,-12.20,0,0
15.000,-22.42,-32.20,-12.20,0,0
15.100,-30.72,-32.20,-12.20,0,0
15.200,-20.76,-32.20,-12.20,0,0
