time_s,dbfs,floor_dbfs,threshold_dbfs,is_above_threshold,event_fired
0.000,-31.33,,,0,0
0.100,-29.81,,,0,0
0.200,-35.34,,,0,0
0.300,-36.50,,,0,0
0.400,-27.68,,,0,0
0.500,-33.09,,,0,0
0.600,-36.77,,,0,0
0.700,-31.75,,,0,0
0.800,-35.62,,,0,0
0.900,-27.78,-35.55,-15.55,0,0
1.000,-29.14,-35.48,-15.48,0,0
1.100,-23.77,-35.41,-15.41,0,0
1.200,-26.45,-35.34,-15.34,0,0
1.300,-37.02,-35.55,-15.55,0,0
1.400,-47.36,-36.06,-16.06,0,0
1.500,-28.91,-35.84,-15.84,0,0
1.600,-27.85,-35.62,-15.62,0,0
1.700,-38.28,-36.28,-16.28,0,0
1.800,-48.93,-36.63,-16.63,0,0
1.900,-34.95,-36.57,-16.57,0,0
2.000,-35.44,-36.50,-16.50,0,0
2.100,-32.06,-36.28,-16.28,0,0
2.200,-31.33,-36.06,-16.06,0,0
2.300,-45.02,-36.57,-16.57,0,0
2.400,-30.37,-36.50,-16.50,0,0
2.500,-28.81,-36.28,-16.28,0,0
2.600,-36.09,-36.30,-16.30,0,0
2.700,-36.96,-36.57,-16.57,0,0
2.800,-37.87,-36.77,-16.77,0,0
2.900,-33.81,-36.70,-16.70,0,0
3.000,-32.80,-36.63,-16.63,0,0
3.100,-33.38,-36.57,-16.57,0,0
3.200,-36.30,-36.50,-16.50,0,0
3.300,-43.93,-36.70,-16.70,0,0
3.400,-43.56,-36.86,-16.86,0,0
3.500,-55.83,-36.98,-16.98,0,0
3.600,-62.34,-37.02,-17.02,0,0
3.700,-66.04,-37.66,-17.66,0,0
3.800,-63.93,-38.08,-18.08,0,0
3.900,-62.49,-39.60,-19.60,0,0
4.000,-37.22,-38.28,-18.28,0,0
4.100,-37.79,-38.18,-18.18,0,0
4.200,-29.05,-38.08,-18.08,0,0
4.300,-35.34,-37.97,-17.97,0,0
4.400,-39.80,-38.28,-18.28,0,0
4.500,-41.25,-39.42,-19.42,0,0
4.600,-33.31,-39.04,-19.04,0,0
4.700,-38.25,-38.66,-18.66,0,0
4.800,-41.36,-39.80,-19.80,0,0
4.900,-42.93,-40.89,-20.89,0,0
5.000,-40.19,-40.99,-20.99,0,0
5.100,-32.51,-40.99,-20.99,0,0
5.200,-34.40,-40.99,-20.99,0,0
5.300,-47.07,-41.34,-21.34,0,0
5.400,-38.55,-41.34,-21.34,0,0
5.500,-35.28,-41.34,-21.34,0,0
5.600,-47.77,-42.54,-22.54,0,0
5.700,-45.44,-43.40,-23.40,0,0
5.800,-54.47,-43.84,-23.84,0,0
5.900,-62.11,-44.75,-24.75,0,0
6.000,-61.07,-45.34,-25.34,0,0
6.100,-60.70,-46.67,-26.67,0,0
6.200,-60.15,-47.29,-27.29,0,0
6.300,-63.87,-47.67,-27.67,0,0
6.400,-41.84,-47.60,-27.60,0,0
6.500,-41.73,-47.60,-27.60,0,0
6.600,-31.83,-47.60,-27.60,0,0
6.700,-39.23,-47.60,-27.60,0,0
6.800,-29.29,-46.67,-26.67,0,0
6.900,-26.81,-46.67,-26.67,0,0
7.000,-28.84,-46.67,-26.67,0,0
7.100,-30.16,-46.67,-26.67,0,0
7.200,-32.36,-46.67,-26.67,0,0
7.300,-36.37,-46.67,-26.67,0,0
7.400,-27.62,-46.67,-26.67,0,0
7.500,-29.10,-46.67,-26.67,0,0
7.600,-30.59,-46.67,-26.67,0,0
7.700,-44.41,-46.67,-26.67,0,0
7.800,-44.80,-46.67,-26.67,0,0
7.900,-50.24,-47.60,-27.60,0,0
8.000,-28.29,-47.60,-27.60,0,0
8.100,-42.61,-47.60,-27.60,0,0
8.200,-34.39,-47.60,-27.60,0,0
8.300,-43.13,-47.60,-27.60,0,0
8.400,-42.98,-47.60,-27.60,0,0
8.500,-37.03,-46.67,-26.67,0,0
