time_s,dbfs,floor_dbfs,threshold_dbfs,is_above_threshold,event_fired
0.000,-41.10,,,0,0
0.100,-29.19,,,0,0
0.200,-36.49,,,0,0
0.300,-39.00,,,0,0
0.400,-39.24,,,0,0
0.500,-30.63,,,0,0
0.600,-41.45,,,0,0
0.700,-32.63,,,0,0
0.800,-38.42,,,0,0
0.900,-32.31,-39.18,-19.18,0,0
1.000,-32.00,-39.12,-19.12,0,0
1.100,-25.93,-39.06,-19.06,0,0
1.200,-30.41,-39.00,-19.00,0,0
1.300,-43.50,-39.18,-19.18,0,0
1.400,-44.79,-40.17,-20.17,0,0
1.500,-28.83,-39.71,-19.71,0,0
1.600,-28.95,-39.24,-19.24,0,0
1.700,-37.00,-39.18,-19.18,0,0
1.800,-36.88,-39.12,-19.12,0,0
1.900,-39.53,-39.32,-19.32,0,0
2.000,-44.48,-39.53,-19.53,0,0
2.100,-34.35,-39.46,-19.46,0,0
2.200,-35.42,-39.39,-19.39,0,0
2.300,-33.34,-39.32,-19.32,0,0
2.400,-41.98,-39.53,-19.53,0,0
2.500,-31.57,-39.46,-19.46,0,0
2.600,-32.37,-39.39,-19.39,0,0
2.700,-37.15,-39.32,-19.32,0,0
2.800,-37.82,-39.24,-19.24,0,0
2.900,-36.68,-39.18,-19.18,0,0
3.000,-32.10,-39.12,-19.12,0,0
3.100,-36.86,-39.06,-19.06,0,0
3.200,-32.94,-39.00,-19.00,0,0
3.300,-34.25,-38.85,-18.85,0,0
3.400,-40.32,-39.12,-19.12,0,0
3.500,-34.37,-39.06,-19.06,0,0
3.600,-41.04,-39.24,-19.24,0,0
3.700,-60.53,-39.46,-19.46,0,0
3.800,-66.57,-39.93,-19.93,0,0
3.900,-40.13,-40.18,-20.18,0,0
4.000,-39.00,-40.13,-20.13,0,0
4.100,-29.66,-39.98,-19.98,0,0
4.200,-34.44,-39.83,-19.83,0,0
4.300,-36.77,-39.68,-19.68,0,0
4.400,-45.13,-40.13,-20.13,0,0
4.500,-34.59,-39.98,-19.98,0,0
4.600,-41.14,-40.23,-20.23,0,0
4.700,-37.35,-40.18,-20.18,0,0
4.800,-40.55,-40.32,-20.32,0,0
4.900,-34.01,-40.28,-20.28,0,0
5.000,-34.42,-39.98,-19.98,0,0
5.100,-38.56,-39.98,-19.98,0,0
5.200,-41.58,-40.28,-20.28,0,0
5.300,-35.31,-40.28,-20.28,0,0
5.400,-38.81,-40.28,-20.28,0,0
5.500,-42.64,-40.49,-20.49,0,0
5.600,-46.96,-40.49,-20.49,0,0
5.700,-67.05,-40.92,-20.92,0,0
5.800,-64.06,-41.12,-21.12,0,0
5.900,-60.40,-41.47,-21.47,0,0
6.000,-58.63,-41.88,-21.88,0,0
6.100,-43.87,-42.48,-22.48,0,0
6.200,-36.29,-42.48,-22.48,0,0
6.300,-32.99,-41.88,-21.88,0,0
6.400,-34.12,-41.47,-21.47,0,0
6.500,-38.31,-41.47,-21.47,0,0
6.600,-30.43,-41.47,-21.47,0,0
6.700,-30.62,-41.47,-21.47,0,0
6.800,-30.50,-41.47,-21.47,0,0
6.900,-29.33,-41.47,-21.47,0,0
7.000,-42.10,-41.47,-21.47,0,0
7.100,-34.59,-41.47,-21.47,0,0
7.200,-31.86,-41.47,-21.47,0,0
7.300,-31.43,-41.47,-21.47,0,0
7.400,-37.52,-41.12,-21.12,0,0
7.500,-48.51,-41.47,-21.47,0,0
7.600,-44.09,-41.97,-21.97,0,0
7.700,-33.94,-41.97,-21.97,0,0
7.800,-41.27,-41.97,-21.97,0,0
7.900,-41.36,-41.97,-21.97,0,0
8.000,-47.21,-42.51,-22.51,0,0
8.100,-38.65,-42.51,-22.51,0,0
