time_s,dbfs,floor_dbfs,threshold_dbfs,is_above_threshold,event_fired
0.000,-37.52,,,0,0
0.100,-30.68,,,0,0
0.200,-17.76,,,0,0
0.300,-22.74,,,0,0
0.400,-35.74,,,0,0
0.500,-50.55,,,0,0
0.600,-27.16,,,0,0
0.700,-29.27,,,0,0
0.800,-23.71,,,0,0
0.900,-32.87,-35.02,-15.02,0,0
1.000,-30.15,-34.30,-14.30,0,0
1.100,-26.14,-33.59,-13.59,0,0
1.200,-30.50,-32.87,-12.87,0,0
1.300,-26.26,-32.32,-12.32,0,0
1.400,-27.42,-31.77,-11.77,0,0
1.500,-18.84,-31.22,-11.22,0,0
1.600,-21.28,-30.68,-10.68,0,0
1.700,-36.78,-32.32,-12.32,0,0
1.800,-44.49,-34.30,-14.30,0,0
1.900,-24.21,-33.59,-13.59,0,0
2.000,-24.42,-32.87,-12.87,0,0
2.100,-32.15,-32.69,-12.69,0,0
2.200,-47.02,-34.30,-14.30,0,0
2.300,-25.02,-33.59,-13.59,0,0
2.400,-23.69,-32.87,-12.87,0,0
2.500,-30.44,-32.69,-12.69,0,0
2.600,-32.71,-32.79,-12.79,0,0
2.700,-30.00,-32.75,-12.75,0,0
2.800,-34.41,-32.87,-12.87,0,0
2.900,-44.21,-34.03,-14.03,0,0
3.000,-26.07,-33.64,-13.64,0,0
3.100,-24.15,-33.26,-13.26,0,0
3.200,-25.75,-32.87,-12.87,0,0
3.300,-31.10,-32.83,-12.83,0,0
3.400,-39.66,-33.64,-13.64,0,0
3.500,-39.24,-34.74,-14.74,0,0
3.600,-32.28,-34.41,-14.41,0,0
3.700,-30.55,-34.03,-14.03,0,0
3.800,-29.51,-33.64,-13.64,0,0
3.900,-33.10,-33.43,-13.43,0,0
4.000,-27.42,-33.10,-13.10,0,0
4.100,-31.26,-33.04,-13.04,0,0
4.200,-35.53,-33.76,-13.76,0,0
4.300,-36.82,-34.69,-14.69,0,0
4.400,-42.03,-35.53,-15.53,0,0
4.500,-63.43,-35.68,-15.68,0,0
4.600,-59.36,-36.26,-16.26,0,0
4.700,-62.06,-36.79,-16.79,0,0
4.800,-34.89,-36.78,-16.78,0,0
4.900,-31.59,-36.52,-16.52,0,0
5.000,-26.71,-35.68,-15.68,0,0
5.100,-21.96,-35.68,-15.68,0,0
5.200,-28.20,-35.68,-15.68,0,0
5.300,-34.67,-35.68,-15.68,0,0
5.400,-34.70,-35.37,-15.37,0,0
5.500,-25.12,-34.84,-14.84,0,0
5.600,-33.67,-34.84,-14.84,0,0
5.700,-38.77,-35.37,-15.37,0,0
5.800,-35.98,-35.87,-15.87,0,0
5.900,-42.21,-36.58,-16.58,0,0
6.000,-25.21,-36.58,-16.58,0,0
6.100,-28.50,-36.58,-16.58,0,0
6.200,-39.10,-36.81,-16.81,0,0
6.300,-32.61,-36.81,-16.81,0,0
6.400,-28.98,-36.81,-16.81,0,0
6.500,-39.42,-38.28,-18.28,0,0
6.600,-38.20,-38.62,-18.62,0,0
6.700,-47.93,-39.02,-19.02,0,0
6.800,-65.10,-39.02,-19.02,0,0
6.900,-60.29,-39.21,-19.21,0,0
7.000,-60.73,-39.37,-19.37,0,0
7.100,-38.89,-39.37,-19.37,0,0
7.200,-35.17,-39.21,-19.21,0,0
7.300,-22.16,-39.21,-19.21,0,0
7.400,-23.23,-39.21,-19.21,0,0
7.500,-33.55,-39.21,-19.21,0,0
7.600,-29.98,-39.21,-19.21,0,0
7.700,-22.31,-39.21,-19.21,0,0
7.800,-25.40,-39.21,-19.21,0,0
7.900,-28.40,-39.05,-19.05,0,0
8.000,-40.44,-39.21,-19.21,0,0
8.100,-24.19,-39.21,-19.21,0,0
8.200,-18.77,-39.21,-19.21,1,0
8.300,-27.17,-39.21,-19.21,0,0
8.400,-30.83,-39.05,-19.05,0,0
8.500,-39.98,-39.05,-19.05,0,0
8.600,-30.83,-39.05,-19.05,0,0
8.700,-24.40,-39.05,-19.05,0,0
8.800,-25.36,-39.05,-19.05,0,0
8.900,-25.97,-39.05,-19.05,0,0
9.000,-28.55,-39.05,-19.05,0,0
9.100,-34.12,-39.05,-19.05,0,0
9.200,-36.91,-39.05,-19.05,0,0
9.300,-27.43,-39.05,-19.05,0,0
9.400,-37.45,-38.86,-18.86,0,0
9.500,-25.95,-38.62,-18.62,0,0
9.600,-26.08,-38.01,-18.01,0,0
9.700,-28.50,-37.32,-17.32,0,0
9.800,-33.82,-37.32,-17.32,0,0
9.900,-26.49,-37.32,-17.32,0,0
10.000,-30.01,-37.32,-17.32,0,0
10.100,-37.41,-37.44,-17.44,0,0
10.200,-28.76,-37.44,-17.44,0,0
10.300,-41.57,-38.01,-18.01,0,0
10.400,-29.61,-38.01,-18.01,0,0
10.500,-21.59,-38.01,-18.01,0,0
10.600,-27.63,-38.01,-18.01,0,0
10.700,-44.93,-38.01,-18.01,0,0
10.800,-51.84,-38.72,-18.72,0,0
10.900,-56.57,-38.72,-18.72,0,0
11.000,-40.27,-39.05,-19.05,0,0
11.100,-26.55,-39.05,-19.05,0,0
11.200,-21.72,-38.72,-18.72,0,0
11.300,-21.76,-38.72,-18.72,0,0
