timestamp_ms,rms_db,noise_floor_db,threshold_db,is_voice_active,calibration_state
10,-39.3,-60.0,-40.0,false,calibrating
20,-52.3,-60.0,-40.0,false,calibrating
30,-52.8,-60.0,-40.0,false,calibrating
40,-58.7,-60.0,-40.0,false,calibrating
50,-56.1,-60.0,-40.0,false,calibrating
60,-56.6,-60.0,-40.0,false,calibrating
70,-56.1,-60.0,-40.0,false,calibrating
80,-55.4,-60.0,-40.0,false,calibrating
90,-56.6,-60.0,-40.0,false,calibrating
100,-55.9,-60.0,-40.0,false,calibrating
110,-54.2,-60.0,-40.0,false,calibrating
120,-51.9,-60.0,-40.0,false,calibrating
130,-56.8,-60.0,-40.0,false,calibrating
140,-55.3,-60.0,-40.0,false,calibrating
150,-60.0,-60.0,-40.0,false,calibrating
160,-57.7,-60.0,-40.0,false,calibrating
170,-56.5,-60.0,-40.0,false,calibrating
180,-57.7,-60.0,-40.0,false,calibrating
190,-54.9,-60.0,-40.0,false,calibrating
200,-57.7,-60.0,-40.0,false,calibrating
210,-55.5,-60.0,-40.0,false,calibrating
220,-56.3,-60.0,-40.0,false,calibrating
230,-57.6,-60.0,-40.0,false,calibrating
240,-55.1,-60.0,-40.0,false,calibrating
250,-57.8,-60.0,-40.0,false,calibrating
260,-55.6,-60.0,-40.0,false,calibrating
270,-57.1,-60.0,-40.0,false,calibrating
280,-55.1,-60.0,-40.0,false,calibrating
290,-55.7,-60.0,-40.0,false,calibrating
300,-55.7,-60.0,-40.0,false,calibrating
310,-56.7,-60.0,-40.0,false,calibrating
320,-55.0,-60.0,-40.0,false,calibrating
330,-52.6,-60.0,-40.0,false,calibrating
340,-52.6,-60.0,-40.0,false,calibrating
350,-52.5,-60.0,-40.0,false,calibrating
360,-53.7,-60.0,-40.0,false,calibrating
370,-51.4,-60.0,-40.0,false,calibrating
380,-53.3,-60.0,-40.0,false,calibrating
390,-52.6,-60.0,-40.0,false,calibrating
400,-55.7,-60.0,-40.0,false,calibrating
410,-55.7,-60.0,-40.0,false,calibrating
420,-54.6,-60.0,-40.0,false,calibrating
430,-56.2,-60.0,-40.0,false,calibrating
440,-54.3,-60.0,-40.0,false,calibrating
450,-56.3,-60.0,-40.0,false,calibrating
460,-58.8,-60.0,-40.0,false,calibrating
470,-56.1,-60.0,-40.0,false,calibrating
480,-54.7,-60.0,-40.0,false,calibrating
490,-53.0,-60.0,-40.0,false,calibrating
500,-54.6,-60.0,-40.0,false,calibrating
510,-55.9,-60.0,-40.0,false,calibrating
520,-54.0,-60.0,-40.0,false,calibrating
530,-57.7,-60.0,-40.0,false,calibrating
540,-53.8,-60.0,-40.0,false,calibrating
550,-58.0,-60.0,-40.0,false,calibrating
560,-53.5,-60.0,-40.0,false,calibrating
570,-53.1,-60.0,-40.0,false,calibrating
580,-57.1,-60.0,-40.0,false,calibrating
590,-56.5,-60.0,-40.0,false,calibrating
600,-57.6,-60.0,-40.0,false,calibrating
610,-61.4,-60.0,-40.0,false,calibrating
620,-57.7,-60.0,-40.0,false,calibrating
630,-55.6,-60.0,-40.0,false,calibrating
640,-54.0,-60.0,-40.0,false,calibrating
650,-56.4,-60.0,-40.0,false,calibrating
660,-56.9,-60.0,-40.0,false,calibrating
670,-54.8,-60.0,-40.0,false,calibrating
680,-56.3,-60.0,-40.0,false,calibrating
690,-54.0,-60.0,-40.0,false,calibrating
700,-60.2,-60.0,-40.0,false,calibrating
710,-55.3,-60.0,-40.0,false,calibrating
720,-56.7,-60.0,-40.0,false,calibrating
730,-52.5,-60.0,-40.0,false,calibrating
740,-55.8,-60.0,-40.0,false,calibrating
750,-56.3,-60.0,-40.0,false,calibrating
760,-55.7,-60.0,-40.0,false,calibrating
770,-59.6,-60.0,-40.0,false,calibrating
780,-54.9,-60.0,-40.0,false,calibrating
790,-51.8,-60.0,-40.0,false,calibrating
800,-50.2,-60.0,-40.0,false,calibrating
810,-51.7,-60.0,-40.0,false,calibrating
820,-52.1,-60.0,-40.0,false,calibrating
830,-53.2,-60.0,-40.0,false,calibrating
840,-60.4,-60.0,-40.0,false,calibrating
850,-59.1,-60.0,-40.0,false,calibrating
860,-55.1,-60.0,-40.0,false,calibrating
870,-59.8,-60.0,-40.0,false,calibrating
