timestamp_ms,rms_db,noise_floor_db,threshold_db,is_voice_active,calibration_state
10,-70.5,-60.0,-40.0,false,calibrating
20,-69.9,-60.0,-40.0,false,calibrating
30,-69.8,-60.0,-40.0,false,calibrating
40,-70.4,-60.0,-40.0,false,calibrating
50,-69.8,-60.0,-40.0,false,calibrating
60,-70.2,-60.0,-40.0,false,calibrating
70,-69.7,-60.0,-40.0,false,calibrating
80,-70.7,-60.0,-40.0,false,calibrating
90,-70.3,-60.0,-40.0,false,calibrating
100,-70.4,-60.0,-40.0,false,calibrating
110,-71.2,-60.0,-40.0,false,calibrating
120,-71.3,-60.0,-40.0,false,calibrating
130,-70.5,-60.0,-40.0,false,calibrating
140,-71.8,-60.0,-40.0,false,calibrating
150,-69.5,-60.0,-40.0,false,calibrating
160,-70.1,-60.0,-40.0,false,calibrating
170,-70.1,-60.0,-40.0,false,calibrating
180,-70.4,-60.0,-40.0,false,calibrating
190,-71.0,-60.0,-40.0,false,calibrating
200,-70.1,-60.0,-40.0,false,calibrating
210,-71.2,-60.0,-40.0,false,calibrating
220,-69.6,-60.0,-40.0,false,calibrating
230,-70.4,-60.0,-40.0,false,calibrating
240,-70.6,-60.0,-40.0,false,calibrating
250,-70.0,-60.0,-40.0,false,calibrating
260,-70.2,-60.0,-40.0,false,calibrating
270,-70.8,-60.0,-40.0,false,calibrating
280,-70.9,-60.0,-40.0,false,calibrating
290,-70.2,-60.0,-40.0,false,calibrating
300,-69.2,-60.0,-40.0,false,calibrating
310,-69.8,-60.0,-40.0,false,calibrating
320,-68.9,-60.0,-40.0,false,calibrating
330,-70.6,-60.0,-40.0,false,calibrating
340,-69.5,-60.0,-40.0,false,calibrating
350,-70.3,-60.0,-40.0,false,calibrating
360,-70.3,-60.0,-40.0,false,calibrating
370,-71.0,-60.0,-40.0,false,calibrating
380,-70.1,-60.0,-40.0,false,calibrating
390,-69.6,-60.0,-40.0,false,calibrating
400,-67.6,-60.0,-40.0,false,calibrating
410,-65.5,-60.0,-40.0,false,calibrating
420,-55.6,-60.0,-40.0,false,calibrating
430,-52.7,-60.0,-40.0,false,calibrating
440,-46.8,-60.0,-40.0,false,calibrating
450,-45.3,-60.0,-40.0,false,calibrating
460,-43.7,-60.0,-40.0,false,calibrating
470,-42.8,-60.0,-40.0,false,calibrating
480,-42.5,-60.0,-40.0,false,calibrating
490,-42.8,-60.0,-40.0,false,calibrating
500,-43.1,-60.0,-40.0,false,calibrating
510,-41.6,-60.0,-40.0,false,calibrating
520,-41.6,-60.0,-40.0,false,calibrating
530,-40.8,-60.0,-40.0,false,calibrating
540,-40.1,-60.0,-40.0,false,calibrating
550,-39.5,-60.0,-40.0,false,calibrating
560,-39.2,-60.0,-40.0,false,calibrating
570,-39.3,-60.0,-40.0,true,calibrating
580,-38.6,-60.0,-40.0,true,calibrating
590,-39.0,-60.0,-40.0,true,calibrating
600,-39.8,-60.0,-40.0,true,calibrating
610,-39.1,-60.0,-40.0,true,calibrating
620,-37.1,-60.0,-40.0,true,calibrating
630,-33.8,-60.0,-40.0,true,calibrating
640,-32.0,-60.0,-40.0,true,calibrating
