timestamp_ms,rms_db,noise_floor_db,threshold_db,is_voice_active,calibration_state
10,-44.7,-60.0,-40.0,false,calibrating
20,-50.0,-60.0,-40.0,false,calibrating
30,-53.5,-60.0,-40.0,false,calibrating
40,-55.3,-60.0,-40.0,false,calibrating
50,-54.7,-60.0,-40.0,false,calibrating
60,-53.1,-60.0,-40.0,false,calibrating
70,-55.5,-60.0,-40.0,false,calibrating
80,-60.1,-60.0,-40.0,false,calibrating
90,-57.7,-60.0,-40.0,false,calibrating
100,-52.0,-60.0,-40.0,false,calibrating
110,-58.5,-60.0,-40.0,false,calibrating
120,-54.8,-60.0,-40.0,false,calibrating
130,-57.3,-60.0,-40.0,false,calibrating
140,-58.2,-60.0,-40.0,false,calibrating
150,-55.3,-60.0,-40.0,false,calibrating
160,-54.4,-60.0,-40.0,false,calibrating
170,-53.3,-60.0,-40.0,false,calibrating
180,-54.1,-60.0,-40.0,false,calibrating
190,-55.8,-60.0,-40.0,false,calibrating
200,-55.8,-60.0,-40.0,false,calibrating
210,-57.0,-60.0,-40.0,false,calibrating
220,-55.5,-60.0,-40.0,false,calibrating
230,-52.8,-60.0,-40.0,false,calibrating
240,-50.2,-60.0,-40.0,false,calibrating
250,-54.0,-60.0,-40.0,false,calibrating
260,-54.2,-60.0,-40.0,false,calibrating
270,-58.9,-60.0,-40.0,false,calibrating
280,-56.4,-60.0,-40.0,false,calibrating
290,-55.2,-60.0,-40.0,false,calibrating
300,-57.4,-60.0,-40.0,false,calibrating
310,-52.4,-60.0,-40.0,false,calibrating
320,-54.9,-60.0,-40.0,false,calibrating
330,-55.5,-60.0,-40.0,false,calibrating
340,-58.0,-60.0,-40.0,false,calibrating
350,-56.9,-60.0,-40.0,false,calibrating
360,-57.8,-60.0,-40.0,false,calibrating
370,-54.7,-60.0,-40.0,false,calibrating
380,-59.7,-60.0,-40.0,false,calibrating
390,-56.5,-60.0,-40.0,false,calibrating
400,-52.6,-60.0,-40.0,false,calibrating
410,-59.3,-60.0,-40.0,false,calibrating
420,-55.0,-60.0,-40.0,false,calibrating
430,-54.7,-60.0,-40.0,false,calibrating
440,-52.7,-60.0,-40.0,false,calibrating
450,-53.8,-60.0,-40.0,false,calibrating
460,-54.4,-60.0,-40.0,false,calibrating
470,-59.5,-60.0,-40.0,false,calibrating
480,-56.8,-60.0,-40.0,false,calibrating
490,-56.7,-60.0,-40.0,false,calibrating
500,-54.2,-60.0,-40.0,false,calibrating
510,-54.2,-60.0,-40.0,false,calibrating
520,-53.2,-60.0,-40.0,false,calibrating
530,-52.0,-60.0,-40.0,false,calibrating
540,-54.7,-60.0,-40.0,false,calibrating
550,-52.2,-60.0,-40.0,false,calibrating
560,-52.0,-60.0,-40.0,false,calibrating
570,-53.8,-60.0,-40.0,false,calibrating
580,-56.2,-60.0,-40.0,false,calibrating
590,-52.5,-60.0,-40.0,false,calibrating
600,-55.1,-60.0,-40.0,false,calibrating
610,-53.7,-60.0,-40.0,false,calibrating
620,-57.9,-60.0,-40.0,false,calibrating
630,-54.7,-60.0,-40.0,false,calibrating
640,-54.6,-60.0,-40.0,false,calibrating
650,-51.7,-60.0,-40.0,false,calibrating
660,-54.4,-60.0,-40.0,false,calibrating
670,-54.2,-60.0,-40.0,false,calibrating
680,-53.9,-60.0,-40.0,false,calibrating
690,-54.7,-60.0,-40.0,false,calibrating
700,-56.8,-60.0,-40.0,false,calibrating
710,-52.5,-60.0,-40.0,false,calibrating
720,-52.7,-60.0,-40.0,false,calibrating
730,-53.1,-60.0,-40.0,false,calibrating
740,-52.9,-60.0,-40.0,false,calibrating
750,-52.3,-60.0,-40.0,false,calibrating
760,-55.1,-60.0,-40.0,false,calibrating
770,-53.6,-60.0,-40.0,false,calibrating
780,-55.7,-60.0,-40.0,false,calibrating
790,-55.1,-60.0,-40.0,false,calibrating
800,-55.9,-60.0,-40.0,false,calibrating
810,-56.0,-60.0,-40.0,false,calibrating
820,-52.4,-60.0,-40.0,false,calibrating
830,-56.9,-60.0,-40.0,false,calibrating
840,-54.8,-60.0,-40.0,false,calibrating
850,-51.9,-60.0,-40.0,false,calibrating
860,-55.0,-60.0,-40.0,false,calibrating
870,-50.4,-60.0,-40.0,false,calibrating
880,-52.3,-60.0,-40.0,false,calibrating
890,-53.0,-60.0,-40.0,false,calibrating
900,-50.4,-60.0,-40.0,false,calibrating
910,-51.6,-60.0,-40.0,false,calibrating
920,-52.4,-60.0,-40.0,false,calibrating
930,-51.4,-60.0,-40.0,false,calibrating
940,-54.9,-60.0,-40.0,false,calibrating
950,-51.1,-60.0,-40.0,false,calibrating
960,-51.1,-60.0,-40.0,false,calibrating
970,-51.4,-60.0,-40.0,false,calibrating
980,-52.8,-60.0,-40.0,false,calibrating
990,-54.9,-60.0,-40.0,false,calibrating
1000,-55.1,-60.0,-40.0,false,calibrated
1010,-55.8,-60.0,-40.0,false,calibrated
1020,-51.9,-60.0,-40.0,false,calibrated
1030,-53.9,-60.0,-40.0,false,calibrated
1040,-51.8,-60.0,-40.0,false,calibrated
1050,-52.2,-60.0,-40.0,false,calibrated
1060,-49.1,-60.0,-40.0,false,calibrated
1070,-49.1,-60.0,-40.0,false,calibrated
1080,-50.5,-60.0,-40.0,false,calibrated
1090,-50.0,-60.0,-40.0,false,calibrated
1100,-54.8,-60.0,-40.0,false,calibrated
1110,-55.9,-60.0,-40.0,false,calibrated
1120,-53.4,-60.0,-40.0,false,calibrated
1130,-56.4,-60.0,-40.0,false,calibrated
1140,-54.0,-60.0,-40.0,false,calibrated
1150,-53.7,-60.0,-40.0,false,calibrated
1160,-53.7,-60.0,-40.0,false,calibrated
1170,-50.5,-60.0,-40.0,false,calibrated
1180,-51.4,-60.0,-40.0,false,calibrated
1190,-50.6,-60.0,-40.0,false,calibrated
1200,-54.7,-60.0,-40.0,false,calibrated
1210,-54.8,-60.0,-40.0,false,calibrated
1220,-53.9,-60.0,-40.0,false,calibrated
1230,-53.5,-60.0,-40.0,false,calibrated
1240,-50.6,-60.0,-40.0,false,calibrated
1250,-53.3,-60.0,-40.0,false,calibrated
1260,-55.0,-60.0,-40.0,false,calibrated
