timestamp_ms,rms_db,noise_floor_db,threshold_db,is_voice_active,calibration_state
10,-48.3,-60.0,-40.0,false,calibrating
20,-55.4,-60.0,-40.0,false,calibrating
30,-52.4,-60.0,-40.0,false,calibrating
40,-49.7,-60.0,-40.0,false,calibrating
50,-54.1,-60.0,-40.0,false,calibrating
60,-50.5,-60.0,-40.0,false,calibrating
70,-50.6,-60.0,-40.0,false,calibrating
80,-49.8,-60.0,-40.0,false,calibrating
90,-53.7,-60.0,-40.0,false,calibrating
100,-55.5,-60.0,-40.0,false,calibrating
110,-51.3,-60.0,-40.0,false,calibrating
120,-54.0,-60.0,-40.0,false,calibrating
130,-53.6,-60.0,-40.0,false,calibrating
140,-55.0,-60.0,-40.0,false,calibrating
150,-53.1,-60.0,-40.0,false,calibrating
160,-53.8,-60.0,-40.0,false,calibrating
170,-52.7,-60.0,-40.0,false,calibrating
180,-54.6,-60.0,-40.0,false,calibrating
190,-52.1,-60.0,-40.0,false,calibrating
200,-56.7,-60.0,-40.0,false,calibrating
210,-52.5,-60.0,-40.0,false,calibrating
220,-55.7,-60.0,-40.0,false,calibrating
230,-56.6,-60.0,-40.0,false,calibrating
240,-55.9,-60.0,-40.0,false,calibrating
250,-53.4,-60.0,-40.0,false,calibrating
260,-53.3,-60.0,-40.0,false,calibrating
270,-60.2,-60.0,-40.0,false,calibrating
280,-57.3,-60.0,-40.0,false,calibrating
290,-59.8,-60.0,-40.0,false,calibrating
300,-53.2,-60.0,-40.0,false,calibrating
310,-52.1,-60.0,-40.0,false,calibrating
320,-51.3,-60.0,-40.0,false,calibrating
330,-51.0,-60.0,-40.0,false,calibrating
340,-52.7,-60.0,-40.0,false,calibrating
350,-50.9,-60.0,-40.0,false,calibrating
360,-53.4,-60.0,-40.0,false,calibrating
370,-51.8,-60.0,-40.0,false,calibrating
380,-54.9,-60.0,-40.0,false,calibrating
390,-53.8,-60.0,-40.0,false,calibrating
400,-53.8,-60.0,-40.0,false,calibrating
410,-57.1,-60.0,-40.0,false,calibrating
420,-60.1,-60.0,-40.0,false,calibrating
430,-56.9,-60.0,-40.0,false,calibrating
440,-55.7,-60.0,-40.0,false,calibrating
450,-57.2,-60.0,-40.0,false,calibrating
460,-50.9,-60.0,-40.0,false,calibrating
470,-54.8,-60.0,-40.0,false,calibrating
480,-52.8,-60.0,-40.0,false,calibrating
490,-51.3,-60.0,-40.0,false,calibrating
500,-50.4,-60.0,-40.0,false,calibrating
510,-51.8,-60.0,-40.0,false,calibrating
520,-51.2,-60.0,-40.0,false,calibrating
530,-49.1,-60.0,-40.0,false,calibrating
540,-53.7,-60.0,-40.0,false,calibrating
550,-49.0,-60.0,-40.0,false,calibrating
560,-50.2,-60.0,-40.0,false,calibrating
570,-51.9,-60.0,-40.0,false,calibrating
580,-53.0,-60.0,-40.0,false,calibrating
590,-58.3,-60.0,-40.0,false,calibrating
600,-59.5,-60.0,-40.0,false,calibrating
610,-56.3,-60.0,-40.0,false,calibrating
620,-55.9,-60.0,-40.0,false,calibrating
630,-56.8,-60.0,-40.0,false,calibrating
640,-56.4,-60.0,-40.0,false,calibrating
650,-54.7,-60.0,-40.0,false,calibrating
660,-58.5,-60.0,-40.0,false,calibrating
670,-53.4,-60.0,-40.0,false,calibrating
680,-55.1,-60.0,-40.0,false,calibrating
690,-54.5,-60.0,-40.0,false,calibrating
700,-52.6,-60.0,-40.0,false,calibrating
710,-55.5,-60.0,-40.0,false,calibrating
720,-54.7,-60.0,-40.0,false,calibrating
730,-53.7,-60.0,-40.0,false,calibrating
740,-54.7,-60.0,-40.0,false,calibrating
750,-56.7,-60.0,-40.0,false,calibrating
760,-57.3,-60.0,-40.0,false,calibrating
770,-56.2,-60.0,-40.0,false,calibrating
780,-54.6,-60.0,-40.0,false,calibrating
790,-57.9,-60.0,-40.0,false,calibrating
800,-57.4,-60.0,-40.0,false,calibrating
810,-54.9,-60.0,-40.0,false,calibrating
820,-56.0,-60.0,-40.0,false,calibrating
830,-53.8,-60.0,-40.0,false,calibrating
840,-53.4,-60.0,-40.0,false,calibrating
850,-56.3,-60.0,-40.0,false,calibrating
860,-55.9,-60.0,-40.0,false,calibrating
870,-56.1,-60.0,-40.0,false,calibrating
880,-55.3,-60.0,-40.0,false,calibrating
890,-55.6,-60.0,-40.0,false,calibrating
900,-56.5,-60.0,-40.0,false,calibrating
910,-53.5,-60.0,-40.0,false,calibrating
920,-52.3,-60.0,-40.0,false,calibrating
930,-56.6,-60.0,-40.0,false,calibrating
940,-52.7,-60.0,-40.0,false,calibrating
950,-54.5,-60.0,-40.0,false,calibrating
960,-56.1,-60.0,-40.0,false,calibrating
970,-50.8,-60.0,-40.0,false,calibrating
980,-47.2,-60.0,-40.0,false,calibrating
990,-51.2,-60.0,-40.0,false,calibrating
1000,-53.4,-60.0,-45.0,false,calibrated
1010,-52.1,-60.0,-45.0,false,calibrated
1020,-56.6,-60.0,-45.0,false,calibrated
1030,-52.2,-60.0,-45.0,false,calibrated
1040,-43.0,-60.0,-45.0,false,calibrated
1050,-35.8,-60.0,-45.0,false,calibrated
1060,-32.7,-60.0,-45.0,false,calibrated
1070,-30.3,-60.0,-45.0,false,calibrated
1080,-29.7,-60.0,-45.0,true,calibrated
1090,-30.5,-60.0,-45.0,true,calibrated
1100,-30.0,-60.0,-45.0,true,calibrated
1110,-31.1,-60.0,-45.0,true,calibrated
1120,-33.9,-60.0,-45.0,true,calibrated
1130,-37.1,-60.0,-45.0,true,calibrated
1140,-39.1,-60.0,-45.0,true,calibrated
1150,-38.6,-60.0,-45.0,true,calibrated
1160,-38.4,-60.0,-45.0,true,calibrated
1170,-38.6,-60.0,-45.0,true,calibrated
1180,-39.1,-60.0,-45.0,true,calibrated
1190,-41.0,-60.0,-45.0,true,calibrated
1200,-38.6,-60.0,-45.0,true,calibrated
1210,-38.1,-60.0,-45.0,true,calibrated
1220,-37.1,-60.0,-45.0,true,calibrated
1230,-38.5,-60.0,-45.0,true,calibrated
1240,-40.4,-60.0,-45.0,true,calibrated
1250,-42.6,-60.0,-45.0,true,calibrated
