update_index,emission_ms,gap_from_previous_ms,text,is_confirmed,confidence
0,398.05805683135986,398.05805683135986,"[BLANK_AUDIO]",0,0.79940826
1,881.4340829849243,483.37602615356445,"on",0,0.9874283
2,1329.5440673828125,448.1099843978882,"on to",0,0.5164912
3,1868.5719966888428,539.0279293060303,"One, two, three.",0,0.80303335
4,2874.919056892395,1006.3470602035522,"One, two, three, one.",0,0.86270565
5,3362.6550436019897,487.7359867095947,"One two three one two",0,0.6095622
6,3962.5470638275146,599.8920202255249,"one two three one two three",0,0.79994833
7,4644.538044929504,681.9909811019897,"One two three one two three one",0,0.67028254
8,5273.4280824661255,628.8900375366211,"one two three one two three one",0,0.7795533
9,6162.730097770691,889.3020153045654,"One, two, three, one, two, three, one, two, three.",0,0.83655906
10,6908.879995346069,746.1498975753784,"two, three, one, two, three, one, two, three.",0,0.851843
11,11594.857096672058,4685.977101325989,"3, 1, 2, 3, 1, 2, 3, 1.",0,0.94067466
12,13179.540038108826,1584.6829414367676,"one, two, three, one, two, three, one, two,",0,0.81822836
13,13779.523015022278,599.9829769134521,"One, two, three, one, two, three, one, two, three.",0,0.83401
14,20505.84900379181,6726.325988769531,"one, two, three, one, two, three, one, two, three.",0,0.9230707
15,21076.52699947357,570.6779956817627,"3, 1, 2, 3, 1, 2, 3, 1.",0,0.8868253
16,21632.602095603943,556.0750961303711,"One, two, three, one, two, three, one.",0,0.9096199
17,22808.212995529175,1175.610899925232,"two, three, one, two, three, one.",0,0.8786647
18,23384.433031082153,576.2200355529785,"3, 1, 2, 3, 1.",0,0.8463747
19,23962.32008934021,577.8870582580566,"One, two, three, one.",0,0.87598264
20,24498.97801876068,536.6579294204712,"two three one",0,0.5713959
21,25061.82301044464,562.84499168396,"3, 1.",0,0.5403987
22,25651.284098625183,589.461088180542,"one",0,0.7401923
23,26179.400086402893,528.11598777771,"[BLANK_AUDIO]",0,0.740428
24,29418.38800907135,3238.987922668457,"One.",0,0.66718894
25,29988.697052001953,570.309042930603,"One, two, three.",0,0.7946631
26,30444.17905807495,455.48200607299805,"one two three",0,0.73825854
27,31066.493034362793,622.3139762878418,"One, two, three, one.",0,0.7621385
28,31627.166032791138,560.6729984283447,"One, two, three, one, two, three.",0,0.79346454
29,32799.75509643555,1172.5890636444092,"One, two, three, one, two, three, one, two, three,",0,0.7423293
30,33350.226044654846,550.4709482192993,"one two three one two three one",0,0.7494954
31,33890.62011241913,540.3940677642822,"one two three one two three one two",0,0.78467876
32,37252.817034721375,3362.196922302246,"one, two, three, one, two, three, one, two, three,",0,0.94348323
33,37852.11706161499,599.3000268936157,"one, two, three, one, two, three, one.",0,0.80317664
34,44556.493043899536,6704.375982284546,"3, 1, 2, 3, 1, 2, 3, 1, 2, 3.",0,0.9504493
35,45233.97707939148,677.4840354919434,"One, two, three, one, two, three, one, two, three.",0,0.8644804
36,45828.45401763916,594.4769382476807,"two, three, one, two, three, one, two, three,",0,0.8303987
37,46451.86805725098,623.4140396118164,"three, one, two, three, one, two, three, one,",0,0.8557891
38,47046.26500606537,594.3969488143921,"one two three one two three one two",0,0.8115111
39,47771.58510684967,725.3201007843018,"One, two, three, one, two, three, one, two.",0,0.89013976
40,48386.5430355072,614.9579286575317,"3, 1, 2, 3, 1, 2.",0,0.77360207
41,48983.32703113556,596.7839956283569,"Three, one, two, three, one, two.",0,0.86818165
42,49544.947028160095,561.6199970245361,"One, two, three, one, two.",0,0.8476002
43,50629.99403476715,1085.0470066070557,"three, one, two.",0,0.7334152
44,51234.71009731293,604.7160625457764,"one two",0,0.8763151
45,51741.94610118866,507.2360038757324,"onto.",0,0.511261
46,52302.96504497528,561.0189437866211,"too.",0,0.62678504
47,52862.762093544006,559.7970485687256,"[BLANK_AUDIO]",0,0.7341249
48,56049.28803443909,3186.5259408950806,"Wow.",0,0.5860577
49,56745.86200714111,696.5739727020264,"One, two, three.",0,0.6937369
50,57316.74110889435,570.8791017532349,"1, 2, 3, 4.",0,0.6883651
51,66804.28099632263,9487.539887428284,"1, 2, 3, 1, 2, 3, 4.",0,0.92997175
52,67475.16000270844,670.8790063858032,"1, 2, 3, 1, 2, 3.",0,0.79495454
53,68011.12401485443,535.9640121459961,"1, 2, 3, 1, 2, 3,",0,0.76190895
54,75580.3050994873,7569.1810846328735,"One, two, three, one, two, three, one.",0,0.9082977
55,76151.811003685,571.5059041976929,"1, 2, 3, 1, 2, 3, 1, 2, 3,",0,0.7770457
56,76793.30801963806,641.497015953064,"1, 2, 3, 1, 2, 3, 1, 2, 3.",0,0.84707844
57,77484.4400882721,691.1320686340332,"One, two, three, one, two, three, one, two, three, one.",0,0.82048607
58,86087.32903003693,8602.888941764832,"3, 1, 2, 3, 1, 2, 3, 1, 2, 3.",0,0.9442451
59,93702.95107364655,7615.622043609619,"three, one, two, three, one, two, three, one, two, three.",0,0.9441705
60,95268.9460515976,1565.9949779510498,"One, two, three, one, two, three, one, two, three, one, two, three,",0,0.79885536
61,95873.9560842514,605.0100326538086,"two three one two three one two three one",0,0.76730824
62,96504.04810905457,630.0920248031616,"3, 1, 2, 3, 1, 2, 3, 1.",0,0.88914275
63,97111.73808574677,607.6899766921997,"One, two, three, one, two, three, one.",0,0.90564233
64,97729.62403297424,617.885947227478,"two, three, one, two, three, one.",0,0.86255306
65,98651.27301216125,921.6489791870117,"3, 1, 2, 3, 1.",0,0.8397516
66,99492.71500110626,841.4419889450073,"one, two, three, one.",0,0.8098877
67,100268.90110969543,776.1861085891724,"One, two, three, one.",0,0.8538337
68,101013.46206665039,744.560956954956,"3, 1.",0,0.52732587
69,101505.64801692963,492.18595027923584,"you won.",0,0.5142789
70,101972.87809848785,467.23008155822754,"end.",0,0.68878514
71,102500.64301490784,527.7649164199829,"[BLANK_AUDIO]",0,0.7491897
72,105955.10506629944,3454.4620513916016,"(crickets chirping)",0,0.6825815
73,106499.81999397278,544.7149276733398,"[BLANK_AUDIO]",0,0.69311994
74,107079.87809181213,580.0580978393555,"one",0,0.88144374
75,107712.21899986267,632.3409080505371,"One, two, three.",0,0.7699756
76,108301.4110326767,589.1920328140259,"one two three",0,0.7663964
77,108877.61402130127,576.2029886245728,"one two three one",0,0.7644154
78,109471.62806987762,594.014048576355,"one two three one two",0,0.78176516
79,110062.81006336212,591.1819934844971,"one two three one two three",0,0.7846613
80,110638.51010799408,575.700044631958,"one two three one two three one",0,0.79236436
81,117263.4630203247,6624.952912330627,"one two three one two three one two",0,0.91155267
