update_index,emission_ms,gap_from_previous_ms,text,is_confirmed,confidence
0,338.14501762390137,338.14501762390137,"[BLANK_AUDIO]",0,0.86963654
1,3631.7880153656006,3293.642997741699,"[crowd murmuring]",0,0.81109935
2,4064.655065536499,432.86705017089844,"Play the game.",0,0.8583454
3,4509.80007648468,445.14501094818115,"Play a cafe.",0,0.8070234
4,4995.337009429932,485.53693294525146,"Playcaf and noise",0,0.98499656
5,6132.565021514893,1137.228012084961,"Playcaf and noise YouTube",0,0.8607233
6,6701.382994651794,568.8179731369019,"Playcaf and noise YouTube clip",0,0.9874712
7,7166.588068008423,465.2050733566284,"Playcafano is YouTube clip from Europe.",0,0.48311815
8,7650.1359939575195,483.5479259490967,"Playcaf and noise YouTube clip from your phone",0,0.54708636
9,8213.443994522095,563.3080005645752,"Playcaf and noise, YouTube clip from your phone.",0,0.57094127
10,8753.971099853516,540.5271053314209,"a fan noise you typically from your phone you find",0,0.6106398
11,9228.417038917542,474.4459390640259,"I know it's beautiful from your phone for another",0,0.47860786
12,9806.371092796326,577.9540538787842,"You can click from your phone for another laptop",0,0.9110591
13,10196.729063987732,390.35797119140625,"to clip from your phone for another laptop",0,0.66645974
14,10629.06801700592,432.3389530181885,"from your phone for another laptop near my",0,0.65339833
15,11109.786987304688,480.7189702987671,"from your phone, from another laptop nearby.",0,0.7568644
16,11579.16808128357,469.38109397888184,"your phone for another laptop nearby.",0,0.77283096
17,12072.880983352661,493.7129020690918,"phone for another laptop nearby.",0,0.7777273
18,12606.532096862793,533.6511135101318,"for another laptop nearby.",0,0.75298506
19,13057.373046875,450.84095001220703,"another laptop nearby speak normal",0,0.79183596
20,13460.530996322632,403.15794944763184,"laptop nearby speak normally from",0,0.6748777
21,13856.747031211853,396.2160348892212,"up top nearby. Speak normally for 30",0,0.631963
22,14257.310032844543,400.56300163269043,"nearby. Speak normally for 30 seconds.",0,0.7752152
23,14658.666014671326,401.3559818267822,"by. Speak normally for 30 seconds",0,0.66202354
24,15056.052088737488,397.3860740661621,"speak normally for 30 seconds",0,0.80538386
25,15502.605080604553,446.55299186706543,"speak normally for 30 seconds, may ground",0,0.57012
26,15966.176986694336,463.5719060897827,"speak normally for 30 seconds, background noise",0,0.6397389
27,16471.278071403503,505.1010847091675,"I think normally for 30 seconds my ground should be...",0,0.5543216
28,16936.326026916504,465.0479555130005,"for 30 seconds my ground should be locked",0,0.6457168
29,17429.279088974,492.9530620574951,"for 30 seconds, background noise should be loud enough.",0,0.67750615
30,17922.89900779724,493.6199188232422,"seconds my ground should be loud enough",0,0.58433676
31,18446.359038352966,523.4600305557251,"I can make around much be loud enough to people",0,0.55507475
32,18934.712052345276,488.35301399230957,"background noise should be loud enough to be obviously",0,0.8136816
33,19442.45409965515,507.7420473098755,"My ground noise should be loud enough to be obviously present",0,0.76591986
34,19900.60806274414,458.15396308898926,"should be loud enough to be obviously present.",0,0.84442604
35,20716.765999794006,816.1579370498657,"be loud enough to be obviously present but not",0,0.7984661
36,21140.989065170288,424.22306537628174,"loud enough to be obviously present but not loud enough",0,0.8506161
37,21589.595079421997,448.606014251709,"enough to be obviously present but not louder than",0,0.83412933
38,22065.38999080658,475.7949113845825,"to be obviously present but not louder than yours.",0,0.8437233
39,22530.14302253723,464.75303173065186,"obviously present but not louder than your voice.",0,0.90411365
40,22998.1290102005,467.98598766326904,"present but not louder than your voice.",0,0.8370689
41,23932.906985282898,934.7779750823975,"but not louder than your voice.",0,0.88803387
42,24457.627058029175,524.7200727462769,"but not louder than your voice. Continue",0,0.8046509
43,24904.20699119568,446.5799331665039,"not louder than your voice. Continue speaking",0,0.77809024
44,25328.460097312927,424.25310611724854,"louder than your voice. Continue speaking as",0,0.7075098
45,25754.003047943115,425.542950630188,"than your voice. Continue speaking with courtesy",0,0.67378646
46,26173.8600730896,419.8570251464844,"voice. Continue speaking at the same",0,0.51305443
47,26791.86201095581,618.0019378662109,"Continue speaking at CurveSage from the bottom.",0,0.8802245
48,27345.054030418396,553.1920194625854,"Continue speaking at Curious Age from about low",0,0.865837
49,27977.45406627655,632.4000358581543,"Continue speaking at Curious Age from the Battle of War",0,0.904793
50,28462.568998336792,485.1149320602417,"Continue speaking at Carousel show about low volume of",0,0.5914368
51,29136.707067489624,674.138069152832,"Speaking at curvy station but low volume for 30",0,0.922265
52,29838.252067565918,701.545000076294,"I'm taking it, because I'm saving some of my low volume for a third set.",0,0.90246284
53,30347.686052322388,509.4339847564697,"We're safe for now, but low volume for 30 seconds.",0,0.6570878
54,30897.714018821716,550.0279664993286,"safe for me but low volume for 30 seconds",0,0.7037068
55,31502.63202190399,604.9180030822754,"for 30 seconds.",0,0.87973344
56,31922.46401309967,419.8319911956787,"low volume for 30 seconds then we",0,0.62843573
57,32381.62398338318,459.1599702835083,"low volume for 30 seconds then we spare",0,0.61211294
58,32812.44707107544,430.82308769226074,"for 30 seconds then we spare just",0,0.54076016
59,33254.01306152344,441.56599044799805,"for 30 seconds. Don't waste time, just pick",0,0.59429365
60,33654.420018196106,400.40695667266846,"30 seconds then whisper just pick soft",0,0.6426065
61,34060.54508686066,406.1250686645508,"seconds don't waste her just pick softly",0,0.65294224
62,34497.825026512146,437.27993965148926,"Don't waste your time, just pick softly.",0,0.63296884
63,35433.82000923157,935.9949827194214,"Don't whisper, just speak softly. That's the noise.",0,0.72653836
64,35889.31405544281,455.4940462112427,"This pair just speaks softly. That's the noise flow.",0,0.6897696
65,36305.777072906494,416.4630174636841,"just pick softly that's the noise floor mark",0,0.7560747
66,36801.676988601685,495.89991569519043,"speak softly, that's the noise floor margin.",0,0.74891984
67,37306.7330121994,505.0560235977173,"soft lip. That's the noise floor margin and",0,0.676014
68,37835.43801307678,528.7050008773804,"That's the noise floor margin and option.",0,0.78045374
69,38378.97598743439,543.537974357605,"That's the noise floor margin and option here",0,0.82689345
70,38938.37809562683,559.4021081924438,"That's the noise floor margin and option V for",0,0.745863
71,39400.15506744385,461.7769718170166,"Custom noise floor margin and option V foldback",0,0.64412606
72,39834.5810174942,434.425950050354,"Floor margin and option default back the fit",0,0.53711057
73,40274.36101436615,439.77999687194824,"slow margin and option default back behavior.",0,0.64814377
74,40696.18499279022,421.82397842407227,"margin and option default back behavior.",0,0.66700184
75,41103.91402244568,407.72902965545654,"option default back be favor",0,0.46136948
76,41545.405983924866,441.491961479187,"option default back be favor if all",0,0.60316825
77,41975.54302215576,430.137038230896,"option default back if they were.",0,0.4623201
78,42388.52107524872,412.97805309295654,"default bank if option A",0,0.44594038
79,42838.67609500885,450.15501976013184,"back the favor if option A is",0,0.67645997
