update_index,emission_ms,gap_from_previous_ms,text,is_confirmed,confidence
0,347.4940061569214,347.4940061569214,"[BLANK_AUDIO]",0,0.778598
1,2161.911964416504,1814.4179582595825,"Click.",0,0.58493185
2,2688.4829998016357,526.5710353851318,"Play the fanatic.",0,0.8232462
3,3071.735978126526,383.25297832489014,"Play the fan noise.",0,0.524862
4,3608.4829568862915,536.7469787597656,"Play the fan noise you don't hear.",0,0.8063019
5,4108.508944511414,500.02598762512207,"Play girlfriend noise YouTube",0,0.9212785
6,4766.081929206848,657.5729846954346,"Playcuffin noise, youtube clip",0,0.91790706
7,5505.568027496338,739.4860982894897,"Play Kofi Noise YouTube Clip from YouTube.",0,0.87669873
8,6247.89297580719,742.324948310852,"Play girlfriend noise YouTube clip from your iPhone",0,0.50859874
9,7313.5669231414795,1065.6739473342896,"microphone noise, youtube clip from your iphone or",0,0.60884005
10,7772.891998291016,459.32507514953613,"the noise YouTube clip from your iPhone or another",0,0.6849172
11,8210.53397655487,437.641978263855,"YouTube click from your iPhone or another laptop",0,0.57748264
12,9103.992938995361,893.4589624404907,"leave from your iPhone or another laptop near the",0,0.66941994
13,9591.221928596497,487.22898960113525,"from your iPhone or another laptop nearby.",0,0.8414991
14,10052.27792263031,461.0559940338135,"your iPhone or another laptop nearby.",0,0.8393243
15,10557.026028633118,504.7481060028076,"iPhone or another laptop nearby.",0,0.8480428
16,11093.406915664673,536.3808870315552,"another laptop nearby speak no",0,0.6907437
17,11660.964965820312,567.5580501556396,"another laptop nearby, speak normally",0,0.7636427
18,12199.959993362427,538.9950275421143,"another laptop nearby, speak normally for",0,0.66641206
19,12848.941922187805,648.9819288253784,"nearby speak normally for therese",0,0.7541964
20,13301.669955253601,452.7280330657959,"nearby speak normally for 30 seconds",0,0.82512534
21,13822.399020195007,520.7290649414062,"by speak normally for 30 seconds",0,0.6876547
22,14340.449929237366,518.0509090423584,"speak normally for 30 seconds, my ground",0,0.5359764
23,14828.689932823181,488.24000358581543,"Speak normally for 30 seconds background music",0,0.6499027
24,15348.482012748718,519.7920799255371,"speak normally for 30 seconds, my grandmothers",0,0.57237875
25,15837.732911109924,489.25089836120605,"Normally for 30 seconds, but grant nice",0,0.54439217
26,16326.434016227722,488.70110511779785,"for 30 seconds, the grand noise",0,0.53636026
27,16831.98595046997,505.55193424224854,"30 seconds, background noise should be",0,0.59436476
28,17303.125977516174,471.1400270462036,"seconds background noise should be louder",0,0.79702216
29,17829.420924186707,526.2949466705322,"background noise should be loud enough",0,0.84983766
30,18337.03100681305,507.6100826263428,"background noise should be loud enough to",0,0.87146443
31,18857.2039604187,520.1729536056519,"The red noise should be loud enough to be audible.",0,0.73114365
32,19294.647932052612,437.44397163391113,"noise should be loud enough to be obviously",0,0.889234
33,19759.053945541382,464.40601348876953,"should be loud enough to be obviously present",0,0.84940857
34,20232.50901699066,473.4550714492798,"should be loud enough to be obviously present.",0,0.8690755
35,20729.128003120422,496.61898612976074,"should be loud enough to be obviously present but",0,0.8690182
36,21274.79898929596,545.6709861755371,"loud enough to be obviously present but not loud enough.",0,0.7978373
37,21797.263026237488,522.4640369415283,"loud enough to be obviously present but not louder",0,0.81771404
38,22322.93391227722,525.6708860397339,"to be obviously present but not louder than",0,0.8099966
39,22870.32401561737,547.3901033401489,"be obviously present but not louder than you",0,0.7010516
40,23390.8269405365,520.5029249191284,"obviously present but not louder than you were.",0,0.7696296
41,23922.53291606903,531.7059755325317,"present but not louder than your voice.",0,0.8301003
42,25028.58293056488,1106.0500144958496,"but not louder than you were.",0,0.7654953
43,25521.78394794464,493.20101737976074,"but not louder than your voice.",0,0.80150187
44,26059.723019599915,537.9390716552734,"louder than your voice. Play a fan",0,0.7106403
45,26566.053986549377,506.3309669494629,"than yours. Play Cofen or",0,0.45622465
46,27075.09696483612,509.04297828674316,"your voice. Playcaf and noise.",0,0.5642409
47,27557.893991470337,482.7970266342163,"voice. Playcaf and noise",0,0.46538
48,28152.068972587585,594.1749811172485,"Playka Fan Noise YouTube",0,0.829762
49,28765.378952026367,613.3099794387817,"Playcafano is a YouTube clip",0,0.870831
50,29242.321014404297,476.9420623779297,"Playcafano is a YouTube clip for",0,0.47374973
51,29795.84002494812,553.5190105438232,"Playcafano is a YouTube clip from the",0,0.53644335
52,30347.381949424744,551.5419244766235,"The second fan is a YouTube clip from the iPhone.",0,0.57889974
53,30869.57800388336,522.1960544586182,"I know it's a YouTube clip from the iPhone.",0,0.6165277
54,31396.55292034149,526.9749164581299,"is youtube clip from the iphone to now",0,0.5786282
55,31891.042947769165,494.49002742767334,"YouTube clip from the iPhone to another one.",0,0.68898666
56,32360.50593852997,469.4629907608032,"YouTube clips from the iPhone to another laptop.",0,0.7242306
57,32847.90396690369,487.39802837371826,"Remove the clips from the iPhone to another laptop.",0,0.76014805
58,33309.79299545288,461.88902854919434,"from the iPhone to another laptop nearby.",0,0.8021117
59,34287.354946136475,977.5619506835938,"iPhone to another laptop nearby.",0,0.7969875
60,34801.67102813721,514.3160820007324,"phone to another laptop nearby.",0,0.7803797
61,35305.757999420166,504.086971282959,"to another laptop nearby. Speak not",0,0.6094205
62,35768.42200756073,462.66400814056396,"another laptop nearby.",0,0.64321744
63,36293.59996318817,525.1779556274414,"laptop nearby. Speak normally first.",0,0.7268593
64,36985.262989997864,691.6630268096924,"nearby. Speak normally for a certain",0,0.8688412
65,37435.006976127625,449.74398612976074,"nearby. Speak normally for 7 seconds.",0,0.7114552
66,37933.14301967621,498.136043548584,"speak normally for 30 seconds",0,0.7572065
67,38925.08292198181,991.939902305603,"speak normally for 30 seconds, background",0,0.6361005
68,39363.92295360565,438.84003162384033,"normally for 30 seconds the ground noise",0,0.7622277
69,39824.576020240784,460.65306663513184,"Normally for 30 seconds the ground noise should be",0,0.7713459
70,40289.9409532547,465.364933013916,"for 30 seconds the ground noise should be louder",0,0.7565056
71,40788.81597518921,498.8750219345093,"30 seconds the ground noise should be loud enough",0,0.7848729
72,41330.28793334961,541.4719581604004,"seconds the ground noise should be loud enough",0,0.8541086
73,42413.03598880768,1082.7480554580688,"the ground noise should be loud enough to be",0,0.78493
74,42931.53393268585,518.4979438781738,"The ground noise should be loud enough to be obvious",0,0.7708428
75,43417.84691810608,486.31298542022705,"noise should be loud enough to be obviously",0,0.786863
76,43914.899945259094,497.05302715301514,"should be loud enough to be obviously present",0,0.8872775
77,44397.69101142883,482.79106616973877,"should be loud enough to be obviously present but not",0,0.69684964
78,44896.09491825104,498.4039068222046,"loud enough to be obviously present but not loud enough.",0,0.84139585
79,45377.309918403625,481.2150001525879,"to be obviously present but not louder than that.",0,0.7042778
80,45902.087926864624,524.7780084609985,"to be obviously present but not louder than you.",0,0.78157884
81,46464.18797969818,562.1000528335571,"to be obviously present but not louder than the word.",0,0.80162024
82,46995.57101726532,531.3830375671387,"obviously present but not louder than your voice.",0,0.8250729
83,47497.002959251404,501.431941986084,"but not louder than you were.",0,0.6479814
84,48019.375920295715,522.3729610443115,"present but not louder than you were.",0,0.745272
85,48518.41902732849,499.0431070327759,"but not louder than you would.",0,0.6821621
86,48983.258962631226,464.8399353027344,"not louder than you was.",0,0.6815268
