update_index,emission_ms,gap_from_previous_ms,text,is_confirmed,confidence
0,354.2269468307495,354.2269468307495,"[BLANK_AUDIO]",0,0.8497278
1,1444.0120458602905,1089.785099029541,"Press",0,0.7765058
2,1798.6270189285278,354.6149730682373,"Press record.",0,0.5343334
3,2205.0989866256714,406.47196769714355,"Press record",0,0.59583324
4,2694.5120096206665,489.4130229949951,"press record stop",0,0.6378391
5,3217.2319889068604,522.7199792861938,"Press record, it sounds too",0,0.4417836
6,3689.7130012512207,472.48101234436035,"Press record stands still.",0,0.5998884
7,4221.459984779358,531.7469835281372,"Press record and still don't press.",0,0.64060444
8,4734.272003173828,512.8120183944702,"Press records and still don't talk.",0,0.8099853
9,5623.131036758423,888.8590335845947,"records and still don't talk.",0,0.801409
10,6068.500995635986,445.3699588775635,"records, and still don't talk.",0,0.66169393
11,6520.262956619263,451.76196098327637,"still don't talk and just",0,0.71789414
12,7030.673027038574,510.4100704193115,"I'm still don't talk and just",0,0.6934445
13,7491.271018981934,460.5979919433594,"still don't talk and just",0,0.72169304
14,7984.480023384094,493.20900440216064,"don't talk and just",0,0.77616143
15,8458.554983139038,474.07495975494385,"talk and just like",0,0.774889
16,8899.016976356506,440.46199321746826,"and just like done",0,0.62803733
17,9365.993022918701,466.9760465621948,"and just like don't breathe",0,0.696787
18,9806.249976158142,440.2569532394409,"just like don't breathe near",0,0.66599834
19,10281.71694278717,475.4669666290283,"just like don't breathe near the",0,0.76123995
20,10751.678943634033,469.9620008468628,"just like don't breathe near the mic",0,0.7379357
21,11249.380946159363,497.7020025253296,"to play Don't Breathe near the mic.",0,0.69638574
22,11700.412034988403,451.0310888290405,"like don't breathe near the mic",0,0.72986037
23,12204.668045043945,504.256010055542,"like don't breathe near the mic and",0,0.7853391
24,12706.156015396118,501.48797035217285,"don't breathe near the mic",0,0.7769313
25,13212.471961975098,506.3159465789795,"breathing near the mic and so forth",0,0.7317663
26,13690.150022506714,477.6780605316162,"near the mic and so for 30",0,0.72721475
27,14217.424035072327,527.2740125656128,"near the mic and so for 30 seconds",0,0.59625554
28,14679.533958435059,462.10992336273193,"mic and so for 30 sec",0,0.45933625
29,15125.460028648376,445.92607021331787,"and so for 30 seconds",0,0.74255174
30,16028.875946998596,903.4159183502197,"And so for 30 seconds,",0,0.72338355
31,16473.615050315857,444.73910331726074,"So for 30 seconds and",0,0.71408945
32,16933.56502056122,459.9499702453613,"for 30 seconds and",0,0.68361735
33,17395.41494846344,461.8499279022217,"30 seconds and",0,0.7065141
34,17846.06099128723,450.6460428237915,"seconds and",0,0.65311337
35,18867.596983909607,1021.5359926223755,"and so",0,0.9921338
