update_index,emission_ms,gap_from_previous_ms,text,is_confirmed,confidence
0,354.7159433364868,354.7159433364868,"[BLANK_AUDIO]",0,0.84816283
1,2189.5809173583984,1834.8649740219116,"for",0,0.90500236
2,2558.127999305725,368.54708194732666,"for each",0,0.5913349
3,3380.5019855499268,822.3739862442017,"for each urea",0,0.48922533
4,3790.121912956238,409.61992740631104,"For each you record",0,0.6933799
5,4218.638896942139,428.5169839859009,"for each you record native",0,0.5815668
6,4638.4159326553345,419.7770357131958,"for each you record naturally",0,0.7547388
7,5089.877963066101,451.4620304107666,"for each you record nature day in",0,0.6375526
8,5541.5579080581665,451.67994499206543,"for each you record naturally in quick",0,0.7751084
9,5989.304900169373,447.74699211120605,"each you record naturally in quick time",0,0.69587284
10,6428.017973899841,438.71307373046875,"you record naturally in quick time",0,0.6562294
11,6879.65190410614,451.6339302062988,"you record naturally in quick time then still",0,0.6804418
12,7301.926970481873,422.2750663757324,"record naturally in quick time then stop",0,0.63147736
13,7737.005949020386,435.0789785385132,"naturally in quick time then stop watching",0,0.69029975
14,8170.033931732178,433.027982711792,"Naturally in quick time then stop watch",0,0.68342084
15,8592.400908470154,422.3669767379761,"in quick time and then stop watch.",0,0.642431
16,9010.246992111206,417.84608364105225,"in quick time, then stop watch the speed",0,0.5829967
17,9432.514905929565,422.2679138183594,"big time, then stop watch the speech.",0,0.7019541
18,9864.467978477478,431.9530725479126,"time, then stop watch the speech on",0,0.6826912
19,10315.02091884613,450.55294036865234,"then stop watch the speech on set",0,0.6747434
20,10772.413969039917,457.3930501937866,"stopwatch, the speech on set.",0,0.61768353
21,11242.32792854309,469.9139595031738,"watch the speech on set and as well.",0,0.6268712
22,11735.036969184875,492.70904064178467,"the speech on set and a speech",0,0.64291376
23,12230.463981628418,495.4270124435425,"the speech on set and a speech entry",0,0.6514674
24,12676.431894302368,445.9679126739502,"the speech onset and speech and transition.",0,0.655422
25,13103.68299484253,427.25110054016113,"speech onset and a speech and transition",0,0.56056315
26,13555.067896842957,451.38490200042725,"on set and a speech and transition on play",0,0.62835157
27,14016.095995903015,461.0280990600586,"set and a speech and transition on playback.",0,0.7316431
28,15001.279950141907,985.1839542388916,"in a speech and transition on playback.",0,0.68334633
29,15474.462985992432,473.1830358505249,"speech and transition on playback. Note that",0,0.6619129
30,15971.035957336426,496.57297134399414,"and transition on playback note the time",0,0.71323663
31,16787.063002586365,816.027045249939,"transition on playback note the time",0,0.69641745
32,18200.13391971588,1413.0709171295166,"on playback note the time this becomes",0,0.65153056
33,18605.981945991516,405.84802627563477,"on playback. Note the time this becomes",0,0.7068503
34,18980.716943740845,374.7349977493286,"back. Note the time this becomes the",0,0.6830845
35,19358.365893363953,377.6489496231079,"Note the time this becomes the manifest",0,0.79890746
36,19770.654916763306,412.289023399353,"Note the time this becomes the manifest of",0,0.7799814
37,20222.57900238037,451.92408561706543,"Note the time this becomes the manifest of first",0,0.6878157
38,20748.957991600037,526.3789892196655,"time this becomes the manifesto for a CEO.",0,0.74467313
39,21390.716910362244,641.758918762207,"this becomes the manifesto for a CSV.",0,0.7251581
40,21989.614963531494,598.8980531692505,"This becomes the manifesto for a CSV.",0,0.8169758
41,22521.122932434082,531.5079689025879,"It becomes the manifesto for a CSV.",0,0.7825979
42,23003.723978996277,482.6010465621948,"the manifesto for a CSV.",0,0.74732864
43,23457.828998565674,454.105019569397,"manifesto for CSV.",0,0.6498525
44,23911.11993789673,453.2909393310547,"test of our CSV.",0,0.48263022
45,24369.699001312256,458.57906341552734,"for a CSV.",0,0.5684232
46,24952.228903770447,582.5299024581909,"Csv.",0,0.8874486
47,25473.02293777466,520.7940340042114,"Reker Stop, watch time, stop.",0,0.8472385
48,25935.707926750183,462.6849889755249,"Raker stop watch time stamp for",0,0.43863013
49,26483.109951019287,547.402024269104,"Reker stop watch time stamp for each step",0,0.4682664
50,27047.576904296875,564.4669532775879,"Raker stop, watch time stamp for each trend.",0,0.6270961
51,27613.52491378784,565.9480094909668,"record stop, watch time stamp for each transistor",0,0.641928
52,28144.26100254059,530.7360887527466,"record stop, watch time stamp for each transition.",0,0.6496691
53,28634.830951690674,490.56994915008545,"stop watch time stamp for each transistor",0,0.5400725
54,29139.068961143494,504.2380094528198,"watch time-stamp for each transition.",0,0.6380097
55,29608.340978622437,469.27201747894287,"times time for each transition.",0,0.68761873
56,30068.74191761017,460.40093898773193,"for each trend.",0,0.49239475
57,31023.38194847107,954.6400308609009,"stringist. Example manifesto.",0,0.5475542
58,31614.173889160156,590.7919406890869,"for example manifest_troll",0,0.8005454
59,32051.89597606659,437.7220869064331,"Example manifest trove.",0,0.61680686
60,32706.525921821594,654.6299457550049,"Example manifest role.",0,0.8580057
61,33208.50491523743,501.9789934158325,"ExampleManifestDraw.",0,0.60018224
62,33846.32694721222,637.8220319747925,"example manifest_draw.continuous_spec",0,0.4812499
63,34341.0849571228,494.7580099105835,"manifest row. Continue speaking",0,0.53841084
64,34863.59488964081,522.5099325180054,"Fast draw. Continue speaking at",0,0.5902346
65,35422.71792888641,559.1230392456055,"Let's draw. Continue speaking at conversion.",0,0.59324723
66,35891.22998714447,468.51205825805664,"continue speaking at conversations",0,0.5934383
67,36408.718943595886,517.488956451416,"Continue speaking at the conversation",0,0.67376906
68,36891.915917396545,483.1969738006592,"Continue speaking at conversation but low",0,0.548956
69,37374.13191795349,482.2160005569458,"Continue speaking at conversation but low volume.",0,0.59694874
70,37860.933899879456,486.80198192596436,"speaking at conversational but low volume",0,0.73611325
71,38383.243918418884,522.3100185394287,"speaking at conversational but low volume for 30",0,0.70742786
72,38959.3288898468,576.0849714279175,"at conversational but low volume for 37",0,0.71653295
73,39535.15899181366,575.8301019668579,"at conversational but low volume for 30 seconds.",0,0.8089268
74,40070.586919784546,535.4279279708862,"conversational but low volume for 30 seconds.",0,0.8304857
75,40606.99188709259,536.4049673080444,"but low volume for 30 seconds.",0,0.8546508
76,41629.589915275574,1022.5980281829834,"low volume for 30 seconds.",0,0.72088796
77,42123.042941093445,493.4530258178711,"for 30 seconds. Don't whisper",0,0.663967
