update_index,emission_ms,gap_from_previous_ms,text,is_confirmed,confidence
0,442.69800186157227,442.69800186157227,"[BLANK_AUDIO]",0,0.8274595
1,1157.5499773025513,714.851975440979,"Thank you.",0,0.73688996
2,2249.9849796295166,1092.4350023269653,"continuous",0,0.8138615
3,2651.0560512542725,401.07107162475586,"continuous list",0,0.8580594
4,2990.31400680542,339.25795555114746,"continuously speaking",0,0.66097736
5,3335.9410762786865,345.6270694732666,"continuously speaking at",0,0.5434487
6,3701.9890546798706,366.0479784011841,"continuously speaking at conversation.",0,0.6373907
7,4101.1210680007935,399.13201332092285,"Continuously speaking at conversation.",0,0.7931192
8,4467.422008514404,366.30094051361084,"continuously speaking at conversation but",0,0.7630289
9,4842.606067657471,375.1840591430664,"continuously speaking at conversation but lower",0,0.7617935
10,5222.508072853088,379.9020051956177,"continuously speaking at conversation but low volume",0,0.7466805
11,5610.912084579468,388.4040117263794,"speaking at conversation but low volume for",0,0.7954157
12,6047.491073608398,436.57898902893066,"speaking at conversation but low volume for the",0,0.72444856
13,6484.426021575928,436.9349479675293,"at conversation but low volume for 30 seconds.",0,0.81309736
14,6916.216969490051,431.79094791412354,"conversation but low volume for 30 seconds.",0,0.8983638
15,7340.86000919342,424.64303970336914,"conversation, but low volume for 30 seconds.",0,0.82908404
16,7763.933062553406,423.07305335998535,"but low volume for 30 seconds.",0,0.75834334
17,8180.620074272156,416.68701171875,"at low volume for 30 seconds.",0,0.7337206
18,8614.382982254028,433.76290798187256,"low volume for 30 seconds, then whisper",0,0.66930246
19,9052.16097831726,437.7779960632324,"for 30 seconds. Don't whisper, just",0,0.5879959
20,9514.981985092163,462.82100677490234,"for 30 seconds. Don't whisper, just pick something.",0,0.7015283
21,9963.853001594543,448.87101650238037,"30 seconds, don't whisper, just pick something.",0,0.7205851
22,10368.499040603638,404.64603900909424,"Don't whisper, just pick softly.",0,0.7496626
23,11568.753004074097,1200.253963470459,"whisperer just picks off me.",0,0.64321905
24,12038.082003593445,469.32899951934814,"Just pick soft.",0,0.82094634
25,12500.593066215515,462.5110626220703,"just pick soft.",0,0.89317733
26,12911.715984344482,411.1229181289673,"speaks softly. Test the noise floor margin.",0,0.76714534
27,13310.819029808044,399.103045463562,"soft. Test the noise floor margin and",0,0.71174026
28,13712.921023368835,402.101993560791,"me. Test the noise floor margin and that",0,0.67275333
29,14111.0600233078,398.13899993896484,"Test the noise floor margin and the option",0,0.78425884
30,14511.823058128357,400.76303482055664,"Test the noise floor margin and the option be",0,0.7432345
31,14915.386080741882,403.5630226135254,"Test the noise floor margin and option B for",0,0.6360549
32,15304.116010665894,388.72992992401123,"noise floor margin and option B fold",0,0.65188646
33,15705.587029457092,401.47101879119873,"floor margin and option B fallback.",0,0.73795664
34,16098.029971122742,392.4429416656494,"margin and option B fallback.",0,0.73156965
35,16864.922046661377,766.8920755386353,"and option B fallback behavior",0,0.5102343
36,17251.53601169586,386.61396503448486,"option be fallback behavior in a",0,0.7361271
37,17638.87906074524,387.34304904937744,"be fallback behavior in the option",0,0.6099383
38,18031.656980514526,392.7779197692871,"fallback behavior in the option A",0,0.6178515
