update_index,emission_ms,gap_from_previous_ms,text,is_confirmed,confidence
0,394.50907707214355,394.50907707214355,"[BLANK_AUDIO]",0,0.8535697
1,2476.878046989441,2082.3689699172974,"Thank you.",0,0.709039
2,3857.1860790252686,1380.3080320358276,"[BLANK_AUDIO]",0,0.7378344
3,4764.1260623931885,906.9399833679199,"Thank you.",0,0.7067514
4,6302.071094512939,1537.945032119751,"[BLANK_AUDIO]",0,0.8638548
5,8172.577023506165,1870.505928993225,"you",0,0.59845614
6,27799.931049346924,19627.35402584076,"[BLANK_AUDIO]",0,0.7461662
7,28227.811098098755,427.88004875183105,"you",0,0.5681139
8,41051.28598213196,12823.474884033203,"Thank you.",0,0.66114163
9,41531.17299079895,479.8870086669922,"(soft music)",0,0.8653671
10,41940.81401824951,409.6410274505615,"(computer beeps)",0,0.76191163
11,42373.311042785645,432.4970245361328,"Thank you.",0,0.84125924
12,42849.28500652313,475.9739637374878,"(computer beeps)",1,0.8383448
