update_index,emission_ms,gap_from_previous_ms,text,is_confirmed,confidence
0,347.78594970703125,347.78594970703125,"[BLANK_AUDIO]",0,0.870158
1,4012.8259658813477,3665.0400161743164,"(crickets chirping)",0,0.7102766
2,7807.690978050232,3794.8650121688843,"you",0,0.6113813
3,8690.59705734253,882.9060792922974,"(birds chirping)",0,0.63192225
4,9088.811993598938,398.2149362564087,"you",0,0.6020305
5,11769.039988517761,2680.2279949188232,"[BLANK_AUDIO]",0,0.7487051
6,12152.251958847046,383.21197032928467,"you",0,0.5850544
7,17668.105959892273,5515.854001045227,"[BLANK_AUDIO]",0,0.74991703
8,18024.255990982056,356.1500310897827,"you",0,0.61617583
9,28015.408039093018,9991.152048110962,"[BLANK_AUDIO]",0,0.7504522
10,30476.094961166382,2460.6869220733643,"you",0,0.58574003
11,31012.63999938965,536.5450382232666,"[BLANK_AUDIO]",0,0.75602126
12,32105.321049690247,1092.6810503005981,"you",0,0.5923404
13,36506.62696361542,4401.305913925171,"[BLANK_AUDIO]",0,0.7763265
14,36948.90904426575,442.2820806503296,"you",0,0.5908479
15,39213.294982910156,2264.385938644409,"(crickets chirping)",0,0.6256793
16,39674.79598522186,461.50100231170654,"(mouse clicks)",0,0.63403577
17,40562.808990478516,888.0130052566528,"(keyboard clicking)",0,0.55218583
18,41216.96698665619,654.1579961776733,"(kissing)",1,0.8827447
