token,startTime,endTime
"so",1.620,2.880
"i've",2.880,3.360
"been",3.360,3.480
"thinking",3.480,3.900
"about",3.900,4.080
"how",4.080,4.380
"i",4.380,4.680
"spend",4.680,4.920
"my",4.920,5.220
"time",5.220,5.400
"during",5.400,5.700
"the",5.700,5.940
"work",5.940,6.180
"day,",6.180,6.720
"and",6.720,7.140
"honestly,",7.140,7.920
"it's",7.920,8.160
"kind",8.160,8.280
"of",8.280,8.400
"a",8.400,8.520
"mess.",8.520,9.000
"i",9.060,9.600
"started",9.600,9.840
"the",9.840,10.140
"morning",10.140,10.260
"planning",10.260,10.680
"to",10.680,11.040
"focus",11.040,11.280
"on",11.280,11.700
"deep",11.700,11.940
"work,",11.940,12.600
"you",12.600,12.960
"know,",12.960,13.380
"that",13.380,13.500
"kind",13.500,13.800
"of",13.800,13.980
"started",13.980,14.280
"actually",14.280,14.820
"matters.",14.820,15.600
"and",15.660,16.320
"then",16.320,16.560
"by",16.560,16.860
"1030",16.860,17.580
"and",17.580,17.940
"3",17.940,18.300
"meetings",18.300,18.480
"deep",18.480,18.960
"and",18.960,19.380
"i",19.380,19.500
"have",19.500,19.620
"not",19.620,19.860
"written",19.860,20.040
"a",20.040,20.340
"single",20.340,20.460
"line",20.460,20.700
"of",20.700,20.880
"code.",20.880,21.360
"it's",21.420,22.200
"frustrating",22.200,22.740
"because",22.740,23.160
"i",23.160,23.400
"know",23.400,23.580
"what",23.580,23.820
"i'm",23.820,24.240
"sure",24.240,24.420
"should",24.420,24.840
"be",24.840,24.960
"doing.",24.960,25.260
"i",25.320,25.920
"just",25.920,26.100
"keep",26.100,26.280
"getting",26.280,26.580
"pulled",26.580,27.180
"into",27.180,27.360
"the",27.360,27.540
"other",27.540,27.660
"things.",27.660,27.960
"yeah,",28.080,29.460
"last",29.460,29.880
"week",29.880,30.060
"i",30.060,30.360
"try",30.360,30.780
"something",30.780,30.900
"different.",30.900,31.320
"i",31.380,31.920
"locked",31.920,32.400
"off",32.400,32.520
"the",32.520,32.760
"1st",32.760,33.000
"2",33.000,33.180
"hours",33.180,33.420
"of",33.420,33.600
"every",33.600,33.840
"morning,",33.840,34.680
"no",34.680,34.800
"meetings,",34.800,35.460
"no",35.460,35.760
"slack,",35.760,36.420
"nothing.",36.420,36.900
