token,startTime,endTime
"so",3.000,3.900
"i've",3.900,4.260
"been",4.260,4.320
"thinking",4.320,4.560
"about",4.560,4.860
"how",4.860,5.280
"i",5.280,5.580
"spend",5.580,5.820
"my",5.820,6.120
"time",6.120,6.360
"during",6.360,7.020
"the",7.020,7.440
"workday,",7.440,9.000
"and",9.000,9.180
"honestly,",9.180,9.900
"it's",9.900,10.140
"kind",10.140,10.260
"of",10.260,10.380
"a",10.380,10.560
"mess.",10.560,11.580
"i",11.640,11.760
"started",11.760,12.000
"the",12.000,12.240
"morning",12.240,12.360
"planning",12.360,12.840
"to",12.840,13.200
"focus",13.200,13.380
"on",13.380,13.860
"deep",13.860,14.280
"work",14.280,14.700
"and",14.700,15.480
"you",15.480,15.600
"know",15.600,15.720
"that",15.720,16.020
"kind",16.020,16.200
"of",16.200,16.320
"stuff",16.320,16.500
"that",16.500,16.860
"actually",16.860,17.100
"matters.",17.100,17.820
"and",17.880,18.600
"then",18.600,18.780
"by",18.780,19.260
"1030,",19.260,19.980
"i'm",19.980,20.280
"there",20.280,20.460
"meeting",20.460,20.940
"deep,",20.940,21.720
"and",21.720,22.140
"i",22.140,22.440
"have",22.440,22.620
"not",22.620,22.860
"written",22.860,23.160
"a",23.160,23.400
"single",23.400,23.520
"line",23.520,23.760
"of",23.760,23.940
"code.",23.940,24.360
"it's",24.420,25.200
"frustrating",25.200,25.800
"because",25.800,26.100
"i",26.100,26.340
"know",26.340,26.460
"what",26.460,26.940
"i",26.940,27.060
"should",27.060,27.180
"be",27.180,27.300
"doing.",27.300,27.660
"i",27.720,28.200
"just",28.200,28.440
"keep",28.440,28.620
"getting",28.620,28.920
"pulled",28.920,29.460
"into",29.460,29.640
"the",29.640,29.880
"other",29.880,30.060
"things.",30.060,30.780
"yeah,",30.840,32.160
"last",32.160,32.580
"week",32.580,32.820
"i",32.820,33.180
"try",33.180,33.420
"something",33.420,33.720
"different.",33.720,34.140
"i've",34.200,35.040
"locked",35.040,35.400
"off",35.400,35.580
"the",35.580,35.880
"21st",35.880,37.020
"2",37.020,37.260
"hours",37.260,37.440
"of",37.440,37.740
"every",37.740,37.920
"morning,",37.920,38.700
"no",38.700,39.060
"meetings,",39.060,39.780
"no",39.780,39.960
"slack,",39.960,40.680
"nothing.",40.680,41.160
