token,startTime,endTime
"so,",1.380,2.940
"i've",2.940,3.480
"been",3.480,3.600
"thinking",3.600,3.960
"about",3.960,4.260
"how",4.260,4.620
"i",4.620,4.860
"spend",4.860,5.100
"my",5.100,5.520
"time",5.520,5.760
"during",5.760,6.120
"the",6.120,6.480
"work",6.480,6.660
"day,",6.660,7.260
"and",7.260,7.740
"honestly,",7.740,8.100
"it's",8.100,8.280
"kind",8.280,8.400
"of",8.400,8.460
"a",8.460,8.580
"mess.",8.580,8.940
"i",9.000,9.840
"started",9.840,10.080
"morning",10.080,10.440
"planning",10.440,10.860
"to",10.860,11.220
"focus",11.220,11.640
"on",11.640,11.880
"the",11.880,12.000
"deep",12.000,12.180
"work,",12.180,12.720
"you",12.720,12.960
"know,",12.960,13.200
"the",13.200,14.040
"kind",14.040,14.400
"of",14.400,14.580
"stuff",14.580,14.760
"that",14.760,15.120
"actually",15.120,15.540
"matters.",15.540,15.960
"and",16.020,16.860
"then",16.860,17.040
"by",17.040,17.340
"1030.",17.340,18.540
"i'm",19.380,19.740
"3",19.740,19.980
"meetings",19.980,20.220
"deep",20.220,20.640
"and",20.640,20.940
"i",20.940,21.120
"have",21.120,21.300
"written",21.300,21.540
"a",21.540,21.840
"single",21.840,22.020
"line",22.020,22.320
"of",22.320,22.560
"code.",22.560,23.160
"it's",23.220,24.300
"frustrating",24.300,24.840
"because",24.840,25.560
"i",25.560,25.800
"know",25.800,26.040
"what",26.040,26.400
"i",26.400,26.940
"should",26.940,27.000
"be",27.000,27.120
"doing.",27.120,27.300
"i",27.360,27.900
"just",27.900,28.080
"keep",28.080,28.260
"getting",28.260,28.560
"pulled",28.560,29.220
"into",29.220,29.520
"the",29.520,29.700
"other",29.700,29.820
"meetings.",29.820,30.420
"last",36.480,36.780
"week,",36.780,37.140
"i",37.140,37.800
"tried",37.800,37.980
"something",37.980,38.460
"different.",38.460,38.700
"i",38.760,39.480
"blocked",39.480,39.900
"off",39.900,40.080
"the",40.080,40.260
"first",40.260,40.380
"two",40.380,40.740
"hours",40.740,40.920
"of",40.920,41.280
"every",41.280,41.580
"morning,",41.580,42.300
"no",42.300,42.780
"meetings,",42.780,43.320
"no",43.320,43.680
"slack,",43.680,44.280
"nothing.",44.280,44.700
"and",44.760,45.660
"i",45.660,45.840
"have",45.840,46.140
"to",46.140,46.260
"say",46.260,46.320
"it",46.320,46.620
"actually",46.620,46.920
"worked",46.920,47.280
"pretty",47.280,47.700
"well.",47.700,48.120
"i",48.180,48.900
"shipped",48.900,49.320
"more",49.320,49.560
"in",49.560,49.980
"those",49.980,50.160
"10,",50.160,50.940
"10",50.940,51.120
"hours",51.120,51.360
"than",51.360,51.660
"i",51.660,51.900
"had",51.900,52.080
"in",52.080,52.320
"the",52.320,52.440
"previous",52.440,52.560
"two",52.560,52.980
"weeks",52.980,53.160
"combined.",53.160,54.000
"the",54.120,55.080
"hard",55.080,55.200
"part",55.200,55.440
"is",55.440,55.800
"defined",55.800,56.400
"that",56.400,56.640
"time",56.640,56.820
"when",56.820,57.840
"the",57.840,58.080
"other",58.080,58.200
"people",58.200,58.380
"want",58.380,58.800
"it.",58.800,59.040
"my",59.100,60.120
"manager",60.120,60.360
"was",60.360,60.780
"fine",60.780,60.960
"with",60.960,61.440
"it.",61.440,61.620
"but",61.680,62.280
"a",62.280,62.580
"few",62.580,62.820
"teammates",62.820,63.420
"pushed",63.420,63.780
"back.",63.780,64.020
"basically",64.080,65.160
"saying,",65.160,65.820
"we",65.820,66.060
"need",66.060,66.180
"to",66.180,66.360
"be",66.360,66.540
"available",66.540,66.780
"for",66.780,67.260
"collaboration.",67.260,67.920
"which",67.980,69.180
"fair",69.180,69.420
"enough,",69.420,69.840
"but",69.840,70.020
"availability,",70.020,71.100
"all",71.100,71.340
"the",71.340,71.520
"time,",71.520,71.880
"means",71.880,72.060
"availability",72.060,73.140
"for",73.140,73.380
"nothing",73.380,73.560
"in",73.560,73.920
"particular.",73.920,74.220
"i",74.340,75.600
"think",75.600,75.720
"the",75.720,76.140
"real",76.140,76.380
"lesson",76.380,77.040
"here",77.040,77.220
"is",77.220,77.700
"that",77.700,77.940
"beginner",77.940,78.660
"is",78.660,78.960
"being",78.960,79.560
"responsive",79.560,80.100
"feels",80.100,80.700
"productive,",80.700,81.180
"but",81.180,81.840
"it",81.840,82.080
"is",82.080,82.320
"like",82.320,83.580
"answering",83.580,84.240
"a",84.240,84.540
"message",84.540,84.660
"in",84.660,85.020
"two",85.020,85.200
"minutes",85.200,85.380
"feels",85.380,85.800
"great,",85.800,86.160
"but",86.160,86.940
"if",86.940,87.240
"i",87.240,87.420
"do",87.420,87.660
"that",87.660,87.900
"50",87.900,88.440
"times",88.440,88.860
"a",88.860,89.100
"day,",89.100,89.400
"i",89.400,89.880
"spend",89.880,90.120
"maybe",90.120,90.540
"a",90.540,91.020
"now",91.020,91.260
"or",91.260,91.560
"just",91.560,91.740
"contact",91.740,92.280
"switching.",92.280,93.000
"so",93.060,93.660
"my",93.660,93.900
"plan",93.900,94.140
"for",94.140,94.500
"the",94.500,94.740
"next",94.740,94.860
"month",94.860,95.100
"is",95.100,95.760
"to",95.760,96.120
"keep",96.120,96.240
"the",96.240,96.420
"morning",96.420,96.600
"block",96.600,97.020
"and",97.020,97.800
"meet",97.800,98.700
"the",98.700,99.000
"review",99.000,99.300
"and",99.300,99.720
"basically",99.720,100.020
"treat",100.020,100.440
"afternoons",100.440,101.160
"at",101.160,101.760
"the",101.760,101.940
"meeting",101.940,102.180
"zone,",102.180,102.900
"will",102.900,103.800
"i",103.800,103.920
"see",103.920,104.100
"if",104.100,104.340
"it",104.340,104.520
"sticks?",104.520,105.000
