token,startTime,endTime
"so",1.380,2.640
"i've",2.640,3.180
"been",3.180,3.300
"thinking",3.300,3.480
"about",3.480,3.900
"how",3.900,4.140
"i",4.140,4.380
"spend",4.380,4.620
"my",4.620,4.920
"time",4.920,5.100
"during",5.100,5.400
"the",5.400,5.700
"work",5.700,5.880
"day,",5.880,6.480
"and",6.480,6.780
"honestly,",6.780,7.500
"it's",7.500,7.920
"kind",7.920,7.980
"of",7.980,8.100
"a",8.100,8.280
"mess.",8.280,8.640
"i",8.760,9.480
"start",9.480,9.780
"the",9.780,10.020
"morning",10.020,10.200
"planning",10.200,10.680
"to",10.680,11.100
"focus",11.100,11.580
"on",11.580,11.820
"deep",11.820,12.000
"work.",12.000,12.480
"you",12.540,13.020
"know,",13.020,13.320
"that's",13.320,13.680
"kind",13.680,13.800
"of",13.800,13.920
"stuff",13.920,14.160
"that",14.160,14.580
"actually",14.580,14.820
"matters.",14.820,15.480
"and",15.540,16.260
"then",16.260,16.380
"by",16.380,16.680
"1030,",16.680,17.580
"i'm",17.580,17.820
"3",17.820,18.000
"meetings",18.000,18.180
"deep,",18.180,19.080
"and",19.080,19.380
"a",19.380,19.560
"hammer",19.560,19.860
"trickness",19.860,20.460
"in",20.460,20.640
"the",20.640,20.760
"line",20.760,20.880
"of",20.880,21.000
"code.",21.000,21.240
"it's",21.300,22.440
"frustrating",22.440,23.040
"because",23.040,23.400
"i",23.400,23.640
"know",23.640,23.820
"what",23.820,24.000
"i",24.000,24.240
"still",24.240,24.540
"should",24.540,24.720
"be",24.720,24.840
"doing.",24.840,25.020
"i",25.080,25.860
"just",25.860,26.100
"keep",26.100,26.280
"getting",26.280,26.580
"pulled",26.580,27.180
"into",27.180,27.300
"the",27.300,27.480
"other",27.480,27.600
"things.",27.600,27.900
"yeah.",27.960,29.280
"last",29.340,30.120
"week,",30.120,30.480
"i",30.480,30.600
"tried",30.600,30.840
"something",30.840,31.020
"different.",31.020,31.320
"i",31.380,32.160
"blocked",32.160,32.580
"off",32.580,32.760
"the",32.760,32.940
"first",32.940,33.060
"two",33.060,33.360
"hours,",33.360,33.780
"so",33.780,34.020
"every",34.020,34.260
"morning,",34.260,34.740
"no",34.740,35.400
"meetings,",35.400,36.060
"no",36.060,36.540
"slack,",36.540,37.080
"nothing.",37.080,37.620
