token,startTime,endTime
"so",1.080,2.340
"i've",2.340,2.880
"been",2.880,3.000
"thinking",3.000,3.300
"about",3.300,3.600
"how",3.600,4.080
"i",4.080,4.320
"spend",4.320,4.620
"my",4.620,4.980
"time",4.980,5.160
"during",5.160,5.520
"the",5.520,5.880
"workday",5.880,6.360
"and",6.360,6.780
"honestly,",6.780,7.500
"it's",7.500,7.860
"kind",7.860,7.980
"of",7.980,8.100
"a",8.100,8.220
"mess.",8.220,8.700
"i",8.760,9.480
"start",9.480,9.780
"the",9.780,9.960
"morning",9.960,10.140
"planning",10.140,10.560
"to",10.560,10.920
"focus",10.920,11.160
"on",11.160,11.580
"the",11.580,11.760
"deep",11.760,11.940
"work,",11.940,12.480
"you",12.480,12.780
"know,",12.780,13.140
"the",13.140,13.440
"kind",13.440,13.680
"of",13.680,13.800
"stuff",13.800,14.040
"that",14.040,14.400
"actually",14.400,14.640
"matters.",14.640,15.240
"and",15.300,16.080
"then",16.080,16.260
"by",16.260,16.860
"1030,",16.860,17.940
"i'm",17.940,18.240
"there",18.240,18.420
"meeting",18.420,19.260
"deep",19.260,19.500
"and",19.500,19.860
"i",19.860,20.100
"have",20.100,20.280
"written",20.280,20.520
"a",20.520,20.880
"single",20.880,21.000
"line",21.000,21.300
"of",21.300,21.480
"code.",21.480,22.020
"so",22.080,23.100
"it's",23.100,23.340
"frustrating",23.340,23.880
"because",23.880,24.240
"i",24.240,24.480
"know",24.480,24.660
"what",24.660,24.960
"i",24.960,25.200
"should",25.200,25.380
"be",25.380,25.560
"doing.",25.560,25.920
"i",25.980,26.460
"just",26.460,26.700
"keep",26.700,27.000
"getting",27.000,27.300
"pulled",27.300,27.780
"into",27.780,28.020
"the",28.020,28.260
"other",28.260,28.380
"things.",28.380,28.740
"yeah,",29.040,30.480
"last",30.480,30.900
"week",30.900,31.020
"i",31.020,31.200
"tried",31.200,31.380
"something",31.380,31.680
"different.",31.680,32.160
"i",32.220,32.940
"blocked",32.940,33.480
"off",33.480,33.660
"the",33.660,33.840
"1st",33.840,34.140
"2",34.140,34.320
"hours,",34.320,34.860
"so",34.860,34.980
"every",34.980,35.160
"morning,",35.160,35.760
"no",35.760,35.940
"meetings,",35.940,36.660
"no",36.660,36.900
"slack,",36.900,37.560
"nothing.",37.560,38.160
