clip_name,language,pace,gt_wpm,gt_total_words,duration_s,window_s,alpha,token_silence_timeout_s,avg_wpm,peak_wpm,error_pct,words_recognized,total_speaking_duration_s
en_normal,en,normal,136.8,237,103.9,5,0.2,1.5,138.5,159.9,1.2,247,97.6
en_normal,en,normal,136.8,237,103.9,5,0.3,1.5,141.9,164.0,3.7,247,97.6
en_normal,en,normal,136.8,237,103.9,5,0.4,1.5,143.6,168.3,5.0,247,97.6
en_normal,en,normal,136.8,237,103.9,6,0.2,1.5,138.5,157.5,1.3,247,97.6
en_normal,en,normal,136.8,237,103.9,6,0.3,1.5,142.1,165.9,3.9,247,97.6
en_normal,en,normal,136.8,237,103.9,6,0.4,1.5,144.0,172.5,5.2,247,97.6
en_normal,en,normal,136.8,237,103.9,8,0.2,1.5,143.0,164.6,4.5,247,97.6
en_normal,en,normal,136.8,237,103.9,8,0.3,1.5,146.4,167.8,7.0,247,97.6
en_normal,en,normal,136.8,237,103.9,8,0.4,1.5,148.2,170.2,8.4,247,97.6
en_normal,en,normal,136.8,237,103.9,10,0.2,1.5,141.7,161.5,3.6,247,97.6
en_normal,en,normal,136.8,237,103.9,10,0.3,1.5,145.2,168.0,6.1,247,97.6
en_normal,en,normal,136.8,237,103.9,10,0.4,1.5,147.0,170.7,7.4,247,97.6
en_fast,en,fast,204.0,237,69.7,5,0.2,1.5,192.1,216.3,5.8,236,67.2
en_fast,en,fast,204.0,237,69.7,5,0.3,1.5,196.2,228.2,3.8,236,67.2
en_fast,en,fast,204.0,237,69.7,5,0.4,1.5,198.6,239.5,2.6,236,67.2
en_fast,en,fast,204.0,237,69.7,6,0.2,1.5,195.8,216.9,4.0,236,67.2
en_fast,en,fast,204.0,237,69.7,6,0.3,1.5,200.1,225.7,1.9,236,67.2
en_fast,en,fast,204.0,237,69.7,6,0.4,1.5,202.6,234.4,0.7,236,67.2
en_fast,en,fast,204.0,237,69.7,8,0.2,1.5,192.7,215.9,5.5,236,67.2
en_fast,en,fast,204.0,237,69.7,8,0.3,1.5,196.7,223.4,3.6,236,67.2
en_fast,en,fast,204.0,237,69.7,8,0.4,1.5,199.0,229.8,2.5,236,67.2
en_fast,en,fast,204.0,237,69.7,10,0.2,1.5,194.6,215.7,4.6,236,67.2
en_fast,en,fast,204.0,237,69.7,10,0.3,1.5,198.6,222.8,2.6,236,67.2
en_fast,en,fast,204.0,237,69.7,10,0.4,1.5,200.8,226.4,1.5,236,67.2
en_slow,en,slow,108.9,122,67.2,5,0.2,1.5,106.5,117.4,2.1,120,65.4
en_slow,en,slow,108.9,122,67.2,5,0.3,1.5,107.5,123.8,1.3,120,65.4
en_slow,en,slow,108.9,122,67.2,5,0.4,1.5,107.9,128.3,0.9,120,65.4
en_slow,en,slow,108.9,122,67.2,6,0.2,1.5,107.4,119.8,1.4,120,65.4
en_slow,en,slow,108.9,122,67.2,6,0.3,1.5,108.4,124.2,0.4,120,65.4
en_slow,en,slow,108.9,122,67.2,6,0.4,1.5,108.9,127.5,0.0,120,65.4
en_slow,en,slow,108.9,122,67.2,8,0.2,1.5,106.9,117.9,1.8,120,65.4
en_slow,en,slow,108.9,122,67.2,8,0.3,1.5,107.8,124.6,0.9,120,65.4
en_slow,en,slow,108.9,122,67.2,8,0.4,1.5,108.3,128.8,0.6,120,65.4
en_slow,en,slow,108.9,122,67.2,10,0.2,1.5,106.1,116.3,2.5,120,65.4
en_slow,en,slow,108.9,122,67.2,10,0.3,1.5,107.0,118.9,1.7,120,65.4
en_slow,en,slow,108.9,122,67.2,10,0.4,1.5,107.4,121.4,1.4,120,65.4
