token,startTime,endTime,confidence
"В",1.920,2.080,0.9868
"прошлом",2.080,2.560,1.0000
"году",2.800,3.200,1.0000
"я",3.200,3.440,1.0000
"первая",3.440,3.840,0.9907
"в",3.840,3.920,0.9409
"жизни",3.920,4.160,0.9995
"поехал",4.320,4.800,0.9960
"в",4.800,4.880,1.0000
"Японию.",4.880,6.000,0.9319
"И",6.320,6.640,0.9985
"это",7.200,7.520,1.0000
"было",7.520,7.760,1.0000
"совсем",7.760,8.320,1.0000
"не",8.320,8.560,1.0000
"то,",8.560,9.040,1.0000
"что",9.040,9.280,1.0000
"я",9.280,9.440,1.0000
"ожидал.",9.440,10.400,0.9959
"Я",10.720,10.960,1.0000
"готовился",10.960,11.600,1.0000
"месяца",11.600,12.080,1.0000
"два,",12.080,12.560,0.9900
"читал",12.560,13.040,1.0000
"гайды,",13.040,13.680,0.9998
"смотрел",13.680,14.240,1.0000
"видео,",14.240,15.120,0.9092
"в",15.120,15.200,0.9937
"общем,",15.200,15.520,0.9951
"думал,",15.520,16.000,0.9993
"что",16.000,16.240,1.0000
"приеду",16.240,16.720,0.9998
"подготовленным.",16.720,17.920,0.9967
"А",18.160,18.400,1.0000
"по",18.400,18.560,1.0000
"факту,",18.560,19.200,1.0000
"как",19.200,19.440,1.0000
"только",19.440,19.680,1.0000
"выжил",19.680,20.080,0.9992
"из",20.080,20.240,1.0000
"аэропорта",20.240,20.640,0.9990
"в",20.800,20.880,1.0000
"Токио,",20.880,21.280,0.9995
"понял,",21.440,22.160,1.0000
"что",22.160,22.400,1.0000
"вообще",22.400,22.880,1.0000
"ничего",22.880,23.440,1.0000
"не",23.440,23.600,1.0000
"понимаю.",23.600,24.640,0.9999
"Все",24.640,25.040,1.0000
"эти",25.040,25.360,1.0000
"видео",25.360,25.840,0.9998
"и",25.840,26.000,1.0000
"гайды,",26.000,26.800,0.9995
"как",26.640,26.800,1.0000
"бы",26.800,26.960,1.0000
"дают",26.960,27.280,0.9021
"тебе",27.280,27.440,0.9917
"общее",27.840,28.400,1.0000
"представление,",28.400,29.680,0.9722
"но",29.680,30.000,1.0000
"реальный",30.000,30.560,1.0000
"город",30.560,30.960,1.0000
"-",30.960,31.200,0.9673
"это",31.200,31.520,1.0000
"совсем",31.520,31.840,1.0000
"другие",32.000,32.320,1.0000
"впечатления.",32.320,33.600,0.9996
"Первое,",33.920,34.640,1.0000
"что",34.640,34.880,1.0000
"меня",34.880,35.200,1.0000
"поразило,",35.200,36.000,0.9952
"это",36.000,36.240,1.0000
"насколько",36.240,36.880,1.0000
"там",36.880,37.200,0.9849
"тихо.",37.200,38.080,0.9935
"Токио",38.400,39.120,1.0000
"-",39.120,39.280,0.5176
"30",39.280,39.760,1.0000
"миллионов",39.760,40.160,0.9999
"человек",40.240,40.560,0.9993
"при",41.120,41.360,1.0000
"этом",41.360,41.680,1.0000
"в",41.680,41.840,0.9995
"метро",41.840,42.320,1.0000
"никто",42.480,42.880,1.0000
"не",42.880,43.040,1.0000
"разговаривает",43.040,43.760,0.9998
"по",43.760,43.840,1.0000
"телефону,",43.840,44.800,0.9998
"никто",44.800,45.040,1.0000
"не",45.120,45.280,1.0000
"слушает",45.360,45.680,0.9995
"музыку",45.760,46.160,0.9997
"без",46.160,46.320,1.0000
"наушников.",46.320,47.440,0.9893
"Типа",47.440,48.080,0.9980
"есть",48.480,48.800,1.0000
"какое-то",48.880,49.600,1.0000
"общее",49.600,50.240,0.9997
"негласное",50.240,51.200,0.9982
"обязательство",51.200,52.080,1.0000
"уважать",52.080,52.720,0.9985
"пространство",52.720,53.520,0.9996
"друг",53.520,53.840,1.0000
"друга.",53.840,54.640,0.8672
"Я",54.640,54.880,1.0000
"приехал",54.880,55.360,0.9976
"из",55.360,55.520,1.0000
"Москвы,",55.520,56.000,0.9998
"где",56.000,56.160,1.0000
"метро",56.320,56.800,0.9481
"всегда",56.800,57.200,1.0000
"шумно.",57.200,57.920,0.9968
"Эта",57.920,58.240,0.9795
"тишина",58.240,58.720,1.0000
"была",58.720,58.960,1.0000
"почти",58.960,59.360,1.0000
"странной.",59.360,60.160,0.9941
