token,startTime,endTime,confidence
"Знаешь,",1.200,1.680,0.9982
"я",1.680,1.760,0.9990
"тут",1.760,1.920,1.0000
"подумал,",1.920,2.240,0.9167
"дня,",2.320,2.640,0.7745
"как",2.640,2.800,1.0000
"вообще",2.800,3.040,1.0000
"происходит",3.040,3.440,1.0000
"мой",3.440,3.600,1.0000
"день.",3.600,3.840,0.8840
"Если",4.000,4.240,1.0000
"честно,",4.240,4.480,0.9996
"это",4.480,4.640,0.9995
"какой-то",4.640,4.960,0.9990
"бардак.",4.960,5.360,0.9998
"Утром",5.360,5.600,1.0000
"я",5.680,5.840,0.9995
"планирую",5.840,6.160,1.0000
"заняться",6.240,6.640,1.0000
"чем-то",6.640,6.880,0.9990
"важным,",6.880,7.200,0.9985
"но",7.200,7.360,0.5693
"серьезно",7.440,7.760,0.9935
"работая.",7.840,8.160,0.9867
"К",8.160,8.320,0.6855
"11",8.320,8.480,0.9351
"часам",8.560,8.800,0.9644
"уже",8.800,8.960,0.9878
"сижу",9.040,9.280,1.0000
"на",9.360,9.440,1.0000
"3-3",9.440,9.840,0.7715
"и",10.000,10.080,0.9580
"не",10.080,10.160,0.9985
"написал",10.160,10.480,0.9990
"ни",10.480,10.560,0.9971
"одной",10.560,10.800,0.9983
"строчки",10.800,11.040,0.9668
"кода.",11.120,11.520,0.9984
"Это",11.520,11.680,1.0000
"бесит,",11.680,12.160,0.7834
"потому",12.160,12.400,1.0000
"что",12.400,12.480,1.0000
"я",12.480,12.640,0.9980
"также",12.640,12.800,0.9644
"понимаю,",12.800,13.200,0.9998
"что",13.200,13.360,1.0000
"нужно",13.360,13.600,0.9995
"делать.",13.600,13.920,0.8634
"Специально",14.000,14.400,0.8113
"приклюемчения",14.400,14.960,0.8961
"развлекася.",15.120,15.920,0.8699
"На",15.920,16.080,1.0000
"прошлой",16.080,16.320,0.9972
"неделе",16.320,16.640,1.0000
"я",16.640,16.720,0.9487
"попробовал",16.720,17.040,0.9980
"по-другому.",17.120,17.600,0.9870
"Заблокировал",17.600,18.240,0.9620
"первые",18.240,18.480,1.0000
"2",18.480,18.640,0.9834
"часа",18.640,18.960,1.0000
"утра",18.960,19.280,0.8872
"никаких",19.360,19.680,1.0000
"встреч,",19.680,20.080,0.9997
"никакого",20.080,20.320,0.9731
"слака,",20.400,20.800,0.9417
"ничего.",20.800,21.120,0.9905
"И",21.120,21.280,0.7051
"знаешь,",21.280,21.520,0.8883
"реально",21.680,21.920,1.0000
"сработало.",21.920,22.320,0.9648
"Эти",22.400,22.560,0.9998
"10",22.560,22.800,0.9997
"часов",22.800,23.040,0.9998
"я",23.040,23.200,0.9995
"сделал",23.200,23.440,0.7727
"больше,",23.440,23.680,0.9998
"чем",23.680,23.840,1.0000
"за",23.840,23.920,1.0000
"2",23.920,24.080,0.7761
"предыдущие",24.080,24.400,0.9990
"недели",24.400,24.640,1.0000
"вместе",24.640,24.880,0.9920
"взятые.",24.960,25.360,0.9155
"Сложно",25.360,25.600,0.9238
"считать,",25.680,26.000,0.7009
"что",26.000,26.080,0.5195
"приходится",26.240,26.560,0.9995
"защищаться",26.560,26.880,0.8815
"это",26.960,27.120,0.9878
"время,",27.120,27.360,0.9998
"когда",27.360,27.520,1.0000
"другие",27.520,27.920,1.0000
"люди",27.920,28.080,1.0000
"хотят",28.080,28.400,1.0000
"его",28.400,28.560,0.9995
"забрать.",28.560,28.960,0.9924
"Но",28.960,29.040,0.5986
"они",29.120,29.200,0.3193
"же",29.280,29.360,0.8784
"раз",29.440,29.520,0.9019
"все",30.160,30.240,0.5098
"нормально,",30.240,30.560,0.9903
"но",30.560,30.720,0.9990
"коллеги",30.720,30.960,0.9998
"начали",31.040,31.280,1.0000
"возмущаться,",31.280,31.840,0.9448
"типа",31.840,32.000,0.9993
"мы",32.080,32.240,1.0000
"должны",32.240,32.480,1.0000
"быть",32.480,32.640,1.0000
"на",32.640,32.720,1.0000
"связи,",32.720,33.040,0.9999
"чтобы",33.040,33.200,1.0000
"вместе",33.200,33.600,0.9995
"работать.",33.600,34.000,0.9995
"Короче,",34.000,34.320,0.9991
"главный",34.320,34.640,0.9974
"урок",34.640,34.960,0.9998
"такой.",34.960,35.280,0.9185
"Быть",35.280,35.520,0.9992
"постоянно",35.520,35.920,0.9565
"на",35.920,36.000,0.9995
"связи",36.000,36.240,1.0000
"кажется",36.320,36.560,0.9932
"продуктивным,",36.640,37.120,0.8906
"на",37.200,37.280,0.9961
"самом",37.280,37.440,1.0000
"деле",37.440,37.680,1.0000
"нет.",37.680,38.000,0.9954
"Но",38.000,38.080,0.7930
"ответить",38.240,38.720,1.0000
"на",38.720,38.800,1.0000
"сообщения",38.800,39.280,0.9796
"за",39.280,39.360,1.0000
"2",39.360,39.520,0.7803
"минуты,",39.520,39.840,0.8641
"это",39.840,40.000,0.9985
"вроде",40.000,40.240,1.0000
"бы",40.240,40.320,1.0000
"здорово",40.320,40.880,0.8656
"если",40.880,40.960,1.0000
"я",41.040,41.120,0.9966
"делаю",41.120,41.360,0.9922
"это",41.360,41.520,0.9980
"50",41.520,41.840,0.9985
"раз",41.840,42.080,0.9980
"в",42.080,42.160,0.9155
"день",42.160,42.320,0.9995
"то",42.400,42.560,0.9980
"получается",42.560,42.880,1.0000
"что",42.960,43.040,0.9990
"я",43.040,43.280,0.9697
"просто",43.280,43.600,1.0000
"час",43.600,43.760,0.8423
"перекладывается",43.920,44.800,0.7826
"на",44.880,44.960,0.7085
"переключение",45.040,45.440,0.8984
"контекста",45.520,46.000,0.9991
"поэтому",46.160,46.480,0.9395
"план",46.480,46.640,0.8772
"следующий",46.800,47.120,0.9696
"месяц",47.120,47.360,0.8141
"такой",47.360,47.520,0.8652
"оставлять",47.680,48.080,0.9237
"утренние",48.080,48.640,0.9991
"блоки",49.600,50.080,0.9910
"добавить",50.160,50.480,0.9268
"посреди",50.880,51.120,0.9297
"дня",51.200,51.360,0.9956
"и",51.440,51.520,0.9819
"принципе",51.600,51.840,0.9352
"считать",51.840,52.080,0.8864
"вторую",52.160,52.400,0.9119
"половину",52.400,52.640,0.9346
"дня",52.720,52.880,0.9817
"заняты",52.960,53.280,0.9352
"для",53.360,53.440,0.8369
"встречи",53.600,53.920,0.9410
"посмотрим",54.000,54.320,0.9977
"как",54.400,54.640,1.0000
"пойдет",54.640,55.360,0.9951
