token,startTime,endTime,confidence
"В",1.520,1.760,0.9834
"прошлом",1.760,2.240,1.0000
"году",2.320,2.720,1.0000
"я",2.720,2.880,1.0000
"поехал",2.880,3.360,1.0000
"в",3.360,3.440,0.9995
"Японию.",3.440,4.640,0.9153
"Ну",4.640,4.960,1.0000
"и",5.200,5.520,1.0000
"это",5.840,6.160,1.0000
"было",6.160,6.400,1.0000
"совсем",6.400,6.960,1.0000
"не",6.960,7.200,1.0000
"то,",7.200,7.680,0.9995
"что",7.680,7.840,1.0000
"я",7.840,8.080,1.0000
"ожидал.",8.080,9.280,0.9999
"Я",9.280,9.600,1.0000
"готовился",9.600,10.320,1.0000
"месяца",10.320,10.880,1.0000
"два,",10.880,11.600,0.8115
"читал",11.600,12.080,1.0000
"гайды,",12.080,12.960,0.9993
"смотрел",12.960,13.600,1.0000
"видео",13.600,14.080,1.0000
"и",14.480,14.640,1.0000
"в",14.720,14.880,1.0000
"общем",14.880,15.200,1.0000
"думал,",15.280,15.840,0.9985
"что",15.840,16.000,1.0000
"я",16.000,16.240,1.0000
"приеду",16.240,16.720,1.0000
"подготовленный.",16.720,17.920,0.8837
"А",18.160,18.400,1.0000
"по",18.400,18.640,1.0000
"факту,",18.640,19.360,0.9999
"как",19.360,19.680,1.0000
"только",19.680,19.920,1.0000
"вышел",19.920,20.400,1.0000
"из",20.400,20.560,1.0000
"аэропорта",20.560,21.040,0.9999
"в",21.200,21.280,0.9995
"Токио,",21.280,22.000,0.9960
"понял,",22.000,22.960,0.9839
"что",22.960,23.200,1.0000
"вообще",23.200,23.520,1.0000
"ничего",23.520,24.000,1.0000
"не",24.000,24.160,1.0000
"понимаю.",24.160,25.120,0.9990
"Все",25.440,25.840,1.0000
"эти",25.840,26.080,1.0000
"видео",26.080,26.560,1.0000
"и",26.560,26.800,1.0000
"гайды",26.800,27.200,1.0000
"как",27.280,27.520,1.0000
"бы",27.520,27.680,1.0000
"дают",28.000,28.560,1.0000
"тебе",28.560,28.880,0.9910
"общее",28.880,29.360,1.0000
"представление,",29.360,30.480,0.9235
"но",30.480,30.720,1.0000
"реальный",30.720,31.280,1.0000
"город",31.280,31.840,1.0000
"это",31.840,32.160,1.0000
"совсем",32.240,32.560,1.0000
"другие",32.720,33.040,1.0000
"впечатления.",33.040,34.720,0.9998
"Первое,",34.720,35.360,1.0000
"что",35.360,35.600,1.0000
"меня",35.600,35.840,1.0000
"поразило,",35.840,36.720,0.9580
"это",36.720,37.040,1.0000
"насколько",37.040,37.760,1.0000
"там",37.760,38.080,1.0000
"тихо.",38.080,39.040,0.8986
"Токио",39.440,40.080,1.0000
"30",40.240,41.040,0.9993
"миллионов",41.040,41.520,0.9994
"человек,",41.680,42.400,0.9977
"и",42.400,42.640,1.0000
"при",42.640,42.880,1.0000
"этом",42.880,43.040,1.0000
"в",43.040,43.280,0.8457
"метро",43.280,44.000,1.0000
"никто",44.000,44.560,1.0000
"не",44.560,44.800,1.0000
"разговаривает",44.800,45.680,0.9999
"по",45.680,45.840,1.0000
"телефону.",45.840,47.040,0.9846
"Никто",47.280,47.600,1.0000
"не",47.760,47.920,1.0000
"слушает",47.920,48.480,1.0000
"музыку",48.480,48.880,1.0000
"без",48.880,49.120,1.0000
"наушников.",49.120,50.320,0.9262
"Типа",50.320,50.800,0.9993
"есть",50.800,51.120,1.0000
"какое-то",51.120,51.680,0.9999
"общее",51.680,52.240,0.9984
"негласное",52.240,52.960,0.9989
"обязательство",52.960,53.920,1.0000
"уважать",53.920,54.560,0.9997
"пространство",54.560,55.280,0.9985
"друг",55.280,55.520,1.0000
"друга",55.680,56.240,0.9192
"я",57.040,57.280,0.9995
"приехал",57.280,57.840,1.0000
"из",57.840,58.000,1.0000
"Москвы",58.000,58.560,0.9945
"где",58.720,58.960,0.9736
"метро",59.120,59.360,0.9284
"всегда",59.680,60.240,1.0000
"шумно",60.240,60.880,0.9991
"эта",61.120,61.520,0.9980
"тишина",61.520,62.320,1.0000
"была",62.320,62.640,1.0000
"почти",62.720,63.280,1.0000
"странной",63.280,63.680,1.0000
"привыкаешь",64.160,65.040,0.9999
"к",65.040,65.120,1.0000
"ней",65.120,65.520,1.0000
"дня",65.520,65.840,0.9995
"через",65.840,66.160,1.0000
"три.",66.160,67.920,0.8486
"Еда",71.600,72.160,1.0000
"это",72.320,72.560,0.9976
"отдельная",72.560,73.360,1.0000
"тема.",73.360,74.160,0.9995
"Я",74.160,74.480,1.0000
"думал,",74.480,74.800,0.9870
"что",74.800,75.120,1.0000
"знаю,",75.120,75.520,0.9595
"что",75.520,75.680,1.0000
"такое",75.680,76.080,1.0000
"суши,",76.080,76.720,0.9976
"потому",76.720,77.040,1.0000
"что",77.040,77.200,1.0000
"в",77.200,77.280,1.0000
"Москве",77.280,78.000,0.9998
"есть",78.000,78.240,1.0000
"нормальные",78.240,78.800,0.9184
"японские",78.800,79.680,0.9952
"рестораны.",79.680,81.040,0.9926
"Короче,",81.040,81.840,1.0000
"оказалось,",81.840,82.560,0.9976
"что",82.560,82.720,1.0000
"я",82.720,82.960,1.0000
"не",82.960,83.280,1.0000
