token,startTime,endTime,confidence
"Знаешь,",1.280,1.920,0.9969
"я",1.920,2.080,0.9409
"ты",2.080,2.160,0.4622
"думал",2.240,2.480,0.9719
"о",2.560,2.640,0.9990
"днях,",2.640,3.200,0.8857
"как",3.200,3.440,0.9941
"вообще",3.440,3.760,1.0000
"проходит",3.760,4.240,0.9980
"мой",4.240,4.400,1.0000
"рабочий",4.400,4.800,1.0000
"день?",4.800,5.440,0.8296
"Если",5.440,5.760,1.0000
"честно,",5.760,6.320,0.9996
"это",6.320,6.480,1.0000
"какой-то",6.480,6.880,0.9917
"бардак.",6.960,7.760,0.9995
"Утром",7.760,8.160,1.0000
"я",8.160,8.320,1.0000
"планирую",8.320,8.720,1.0000
"заняться",8.720,9.200,1.0000
"чем-то",9.200,9.440,0.8979
"важным,",9.520,10.080,0.9645
"ну,",10.080,10.400,0.9607
"серьезной",10.400,10.880,0.9977
"работой.",10.960,11.440,0.9144
"А",11.440,11.600,0.9888
"к",11.600,11.680,0.9902
"11",11.680,12.000,0.9513
"часам",12.160,12.480,0.9995
"уже",12.480,12.720,1.0000
"сижу",12.720,13.120,1.0000
"на",13.120,13.200,1.0000
"третьей",13.200,13.440,0.9294
"встрече",13.520,14.000,0.9999
"и",14.000,14.080,1.0000
"не",14.080,14.240,1.0000
"написал",14.240,14.480,0.9998
"ни",14.800,14.960,1.0000
"одной",14.960,15.120,1.0000
"строчки",15.280,15.600,0.9084
"кода.",15.680,16.320,1.0000
"Это",16.320,16.640,1.0000
"бесит,",16.640,17.200,0.9990
"потому",17.200,17.440,1.0000
"что",17.440,17.600,1.0000
"я",17.600,17.760,1.0000
"же",17.760,17.920,1.0000
"понимаю,",17.920,18.400,1.0000
"что",18.400,18.560,1.0000
"нужно",18.560,18.880,1.0000
"делать.",18.880,19.360,0.9528
"Просто",19.360,19.680,1.0000
"постоянно",19.680,20.160,1.0000
"отвлекаюсь.",20.160,21.600,0.9180
"На",26.640,26.880,1.0000
"прошлой",26.880,27.280,1.0000
"неделе",27.360,27.760,1.0000
"я",27.760,27.840,1.0000
"попробовал",27.840,28.320,1.0000
"по-другому.",28.320,29.200,0.9987
"Заблокировал",29.200,29.920,1.0000
"первые",29.920,30.320,1.0000
"2",30.320,30.560,0.9932
"часа,",30.560,30.960,0.9897
"никаких",30.960,31.360,1.0000
"встреч,",31.360,31.840,0.9999
"никакого",31.840,32.240,1.0000
"слака,",32.240,32.880,0.9897
"ничего.",32.880,33.520,1.0000
"И",33.520,33.760,0.6680
"знаешь,",33.760,34.240,1.0000
"реально",34.240,34.560,1.0000
"сработал.",34.560,35.200,0.9964
"За",35.200,35.360,1.0000
